Date,Open,High,Low,Close,Volume,MarketCap
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,34320
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,34542
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,34310
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,33413
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,33095
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,33128
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,33037
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,63308
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,62402
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154,64601
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,293,64556
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,62912
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,66806
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,64183
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,201,68714
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,70886
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,70813
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,77766
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153,118712
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207,82993
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,315,83969
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,317,83965
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,83480
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,199,81214
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,83480
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,84556
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252,78834
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,113328
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,114702
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,112388
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,76337
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90,75315
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,75972
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,68784
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,65010
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,65043
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,63717
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,383,63775
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,65279
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,64556
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,68065
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,102781
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,69046
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,101129
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,66766
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,67295
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,66407
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129,67703
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,64837
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,537,32627
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,500,65326
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,59953
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,62664
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290,62117
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,63674
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,62999
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,63008
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,68597
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,68567
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,69009
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,103134
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,66171
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,66656
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,67873
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,65545
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,67252
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,70363
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,103826
