Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,68645
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,69100
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,57056
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,69752
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,71435
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,70897
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,67909
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,64947
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,67327
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,64622
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,70873
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,72312
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,72618
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,71602
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,83427
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,92551
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,92986
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,93376
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,94391
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,91345
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,97665
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,93257
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,94008
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,98892
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,98365
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,103420
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,103705
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,104676
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,106526
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,121376
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,114522
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,114332
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,132658
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,123682
