Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.6,1.7,1.5,1.5,19457,3651917
2018-08-29 00:00:00 +0000 UTC,1.8,1.8,1.6,1.6,39018,3899465
2018-08-28 00:00:00 +0000 UTC,1.8,1.8,1.7,1.7,26264,3902183
2018-08-27 00:00:00 +0000 UTC,1.7,1.9,1.7,1.8,22121,3830450
2018-08-26 00:00:00 +0000 UTC,1.7,1.8,1.7,1.7,9722,3811749
2018-08-25 00:00:00 +0000 UTC,1.8,1.8,1.7,1.7,10603,3981684
2018-08-24 00:00:00 +0000 UTC,1.8,1.8,1.7,1.8,13702,3931716
2018-08-23 00:00:00 +0000 UTC,1.7,1.8,1.6,1.8,16869,3866691
2018-08-22 00:00:00 +0000 UTC,1.8,1.9,1.7,1.7,8347,3987982
2018-08-21 00:00:00 +0000 UTC,1.7,1.9,1.7,1.8,11752,3853546
2018-08-20 00:00:00 +0000 UTC,1.9,1.9,1.7,1.7,16905,4137272
2018-08-19 00:00:00 +0000 UTC,2.0,2.0,1.8,1.9,47441,4535056
2018-08-18 00:00:00 +0000 UTC,2.2,2.2,2.0,2.0,22677,4994579
2018-08-17 00:00:00 +0000 UTC,1.9,2.5,1.9,2.2,49673,4253511
2018-08-16 00:00:00 +0000 UTC,1.7,2.2,1.6,1.9,112545,3704480
2018-08-15 00:00:00 +0000 UTC,1.6,1.7,1.6,1.7,19417,3597626
2018-08-14 00:00:00 +0000 UTC,1.7,1.7,1.5,1.6,32591,3807232
2018-08-13 00:00:00 +0000 UTC,1.7,1.8,1.7,1.7,24735,3887843
2018-08-12 00:00:00 +0000 UTC,1.8,1.9,1.7,1.7,15592,3925739
2018-08-11 00:00:00 +0000 UTC,1.8,1.8,1.6,1.7,14747,3963888
2018-08-10 00:00:00 +0000 UTC,1.9,1.9,1.7,1.8,22659,4235512
2018-08-09 00:00:00 +0000 UTC,1.8,1.9,1.6,1.9,32545,4044143
2018-08-08 00:00:00 +0000 UTC,1.8,1.8,1.6,1.8,37660,4019121
2018-08-07 00:00:00 +0000 UTC,1.9,2.0,1.8,1.8,34437,4351011
2018-08-06 00:00:00 +0000 UTC,2.0,2.1,1.9,1.9,32610,4448981
2018-08-05 00:00:00 +0000 UTC,2.0,2.2,1.9,2.0,46521,4517089
2018-08-04 00:00:00 +0000 UTC,2.2,2.2,2.0,2.0,56027,5011336
2018-08-03 00:00:00 +0000 UTC,2.4,2.4,2.0,2.2,137515,5329443
2018-08-02 00:00:00 +0000 UTC,2.6,2.8,2.0,2.4,230457,5763012
2018-08-01 00:00:00 +0000 UTC,2.6,2.7,2.5,2.5,42712,5910319
2018-07-31 00:00:00 +0000 UTC,3.0,3.1,2.5,2.7,60607,6727367
2018-07-30 00:00:00 +0000 UTC,3.1,3.1,2.9,3.0,50241,6895823
2018-07-29 00:00:00 +0000 UTC,3.1,3.2,3.0,3.1,39373,6840157
2018-07-28 00:00:00 +0000 UTC,3.0,3.1,3.0,3.1,23336,6795097
2018-07-27 00:00:00 +0000 UTC,3.0,3.1,2.9,3.0,33222,6681465
2018-07-26 00:00:00 +0000 UTC,3.3,3.3,3.0,3.0,28190,7301876
2018-07-25 00:00:00 +0000 UTC,3.4,3.5,3.2,3.3,32723,7533272
2018-07-24 00:00:00 +0000 UTC,3.1,3.4,3.1,3.4,46284,6923467
2018-07-23 00:00:00 +0000 UTC,3.1,3.2,3.1,3.1,37883,6946645
