Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,62,878125
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31,815878
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,430,878299
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1834,827107
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7418,777151
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,769618
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,195,751327
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15,631103
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,209,752232
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,90,743683
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,203,784517
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,248,697087
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,164,722857
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,251,736641
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,363,834802
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1489,748457
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7919,771152
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8780,778046
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,476,562399
2018-08-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,98,545883
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,714,580415
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,249,555973
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,228,604951
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37,627133
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,911,704050
