Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.5,0.5,0.3,0.5,6956,0
2018-08-29 00:00:00 +0000 UTC,0.5,0.6,0.2,0.5,6463,0
2018-08-28 00:00:00 +0000 UTC,0.6,0.6,0.4,0.5,8683,0
2018-08-27 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,8253,0
2018-08-26 00:00:00 +0000 UTC,0.6,0.6,0.4,0.5,5848,0
2018-08-25 00:00:00 +0000 UTC,0.8,0.8,0.5,0.6,7845,0
2018-08-24 00:00:00 +0000 UTC,0.7,0.9,0.5,0.8,7159,0
2018-08-23 00:00:00 +0000 UTC,1.0,1.2,0.6,0.7,4767,0
2018-08-22 00:00:00 +0000 UTC,0.9,1.1,0.5,1.0,8849,0
2018-08-21 00:00:00 +0000 UTC,0.5,1.0,0.4,0.9,12938,0
2018-08-20 00:00:00 +0000 UTC,0.5,0.6,0.4,0.5,5285,0
2018-08-19 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,6992,0
2018-08-18 00:00:00 +0000 UTC,0.7,0.7,0.5,0.6,6562,0
2018-08-17 00:00:00 +0000 UTC,0.6,0.7,0.5,0.7,36434,0
2018-08-16 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,9717,0
2018-08-15 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,6623,0
2018-08-14 00:00:00 +0000 UTC,0.5,0.6,0.4,0.6,13824,0
2018-08-13 00:00:00 +0000 UTC,0.7,0.7,0.4,0.5,9381,0
2018-08-12 00:00:00 +0000 UTC,0.8,1.4,0.3,0.7,8692,0
2018-08-11 00:00:00 +0000 UTC,0.8,5.9,0.3,0.8,104801,0
2018-08-10 00:00:00 +0000 UTC,0.9,0.9,0.2,0.8,600,0
2018-08-09 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,213,0
2018-08-08 00:00:00 +0000 UTC,0.7,0.9,0.7,0.8,3,0
2018-08-07 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,6423,0
2018-08-06 00:00:00 +0000 UTC,0.8,1.0,0.2,0.7,10379,0
2018-08-05 00:00:00 +0000 UTC,0.8,1.0,0.8,0.8,103,0
2018-08-04 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,117,0
2018-08-03 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,0,0
2018-08-02 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,0,0
2018-08-01 00:00:00 +0000 UTC,0.9,0.9,0.6,0.6,677,0
2018-07-31 00:00:00 +0000 UTC,1.0,1.0,0.7,0.9,2920,0
2018-07-30 00:00:00 +0000 UTC,0.9,1.1,0.5,1.0,85,0
2018-07-29 00:00:00 +0000 UTC,1.0,1.0,0.8,0.9,254,0
2018-07-28 00:00:00 +0000 UTC,1.2,1.5,1.0,1.0,34,0
2018-07-27 00:00:00 +0000 UTC,0.7,1.2,0.6,1.2,5,0
2018-07-26 00:00:00 +0000 UTC,1.2,1.2,0.7,0.7,456,0
2018-07-25 00:00:00 +0000 UTC,0.9,1.4,0.9,1.2,190,0
2018-07-24 00:00:00 +0000 UTC,0.7,1.0,0.7,1.0,415,0
2018-07-23 00:00:00 +0000 UTC,0.9,1.8,0.7,0.7,1035,0
2018-07-22 00:00:00 +0000 UTC,0.8,1.1,0.8,0.9,947,0
2018-07-21 00:00:00 +0000 UTC,1.6,1.8,0.8,0.8,66,0
2018-07-20 00:00:00 +0000 UTC,0.8,1.8,0.2,1.6,51433,0
2018-07-19 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,75,0
2018-07-18 00:00:00 +0000 UTC,1.0,1.1,0.8,0.8,18224,0
2018-07-17 00:00:00 +0000 UTC,0.7,1.0,0.7,1.0,44,0
2018-07-16 00:00:00 +0000 UTC,0.7,0.9,0.7,0.7,3067,0
2018-07-15 00:00:00 +0000 UTC,1.1,2.2,0.7,0.7,1910,0
2018-07-14 00:00:00 +0000 UTC,0.7,1.1,0.7,1.1,39554,0
2018-07-13 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,1,0
2018-07-12 00:00:00 +0000 UTC,0.9,0.9,0.6,0.7,283,0
2018-07-11 00:00:00 +0000 UTC,1.2,1.2,0.6,0.9,27833,0
2018-07-10 00:00:00 +0000 UTC,1.3,1.3,0.7,1.1,5071,0
2018-07-09 00:00:00 +0000 UTC,1.5,1.7,0.8,1.3,22673,0
2018-07-08 00:00:00 +0000 UTC,1.7,1.7,0.8,1.5,16516,0
2018-07-07 00:00:00 +0000 UTC,1.7,1.7,0.6,1.7,20452,0
2018-07-06 00:00:00 +0000 UTC,0.7,1.7,0.6,1.7,125917,0
2018-07-05 00:00:00 +0000 UTC,0.1,0.7,0.1,0.7,5716,80962792
2018-07-04 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1815,14945474
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,308,185949
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,726,148468
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,732,154692
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,760,152229
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,545,168650
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,510,170431
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1442,169207
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,542,171195
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,192070
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,192187
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,192707
2018-06-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,635,19524478
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,702876
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,157362
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,163093
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1754,161013
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,169078
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,170196
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,167963
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,210395
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,136,151996
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,280,231504
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231,186255
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,183309
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,176435
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,266,224235
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230,231403
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,225476
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,648,250678
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1009,284837
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,880,140008
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1357,214841
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176,231131
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26673,4852795
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,166,221021
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,350,2181827
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20606,219191
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,320,265832
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140,211157
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208,222591
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1080,386497
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5654,409801
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,273699
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,266689
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,602,396595
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,284649
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3431,440007
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,938,434580
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4617,442512
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,511,302781
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104,464328
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,205,457901
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,460501
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,290357
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,286077
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,436557
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,444149
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1039,532867
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4591,510393
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3294,495120
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2188,642779
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1802,710227
