Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,37389
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,54182
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,60537
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,63624
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,58879
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,53567
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,51535
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,56883
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,58079
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,57053
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,61450
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,59788
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115,66371
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,83851
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,70,64895
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274,65906
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,69940
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,80932
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,66705
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,91231
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,80878
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,82910
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,97678
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,95235
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,69490
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,91712
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,98686
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,500,75710
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,77534
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172,92787
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,105440
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,107462
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,221,115380
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,112981
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,858,70403
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,132559
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,114174
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,122268
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,80680
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,124240
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,124777
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,127045
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,123822
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72,115054
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,144502
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,133949
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,138755
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,137984
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,152889
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,181,195814
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,569,120728
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,205072
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,146497
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,505,150131
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,141027
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,133939
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,128339
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,180726
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,164,127728
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,129542
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,101681
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,96031
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,114250
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,517,128713
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,96917
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,109032
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,482,98230
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,621,84003
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,79231
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,91402
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,89516
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,342,94364
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,93851
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,489,107375
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,80482
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117,100549
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,104166
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,203,122573
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,200,112650
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,113539
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263,87338
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170,88118
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,213,118137
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,321,135393
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,662,144445
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,144075
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208,148126
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1135,144168
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1050,151196
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,353,152950
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135,160343
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,152172
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,324,228257
2018-05-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,277,156436
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,221,166312
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1315,164827
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187,185837
2018-05-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1170,187732
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,81,241491
2018-05-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,147,188036
2018-05-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,136,206127
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,689,231042
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,237,350816
2018-05-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,530,201198
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,154,199165
2018-05-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1053,211091
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,189,217488
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,174,218348
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,318,280653
2018-05-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,345,165006
2018-05-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,27,218044
2018-05-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,120,277044
2018-05-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,713,292013
2018-05-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,97,279257
2018-05-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,464,249365
2018-05-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,190,329992
2018-05-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,102,244464
2018-05-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,488,265862
2018-05-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,886,278149
2018-05-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,741,265571
2018-05-02 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1455,224814
2018-05-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,155,298488
2018-04-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,50,309601
2018-04-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,411,317961
2018-04-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87,306274
2018-04-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,84,315145
2018-04-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,274,299685
2018-04-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,152,339984
2018-04-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,695,239499
2018-04-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,101,246998
2018-04-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,125,297519
2018-04-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38,260129
2018-04-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,804,216548
2018-04-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,171,240082
2018-04-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,486,240345
2018-04-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,132,297130
2018-04-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,353,250704
2018-04-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,222,268424
2018-04-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,208,276623
2018-04-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69,283562
2018-04-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,212,247707
2018-04-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,383,251517
2018-04-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,58,259055
2018-04-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,177,259735
2018-04-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,18,252329
2018-04-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,71,240529
2018-04-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,110,244685
2018-04-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,99,259245
2018-04-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53,309384
2018-04-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,211,271128
2018-04-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,266,286714
2018-04-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,229,284596
2018-03-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,123,284920
2018-03-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39,295196
2018-03-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,115,335854
2018-03-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,272,329265
2018-03-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,400,448450
2018-03-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,362,397169
2018-03-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,649,470508
2018-03-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,254,485322
2018-03-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,161,448121
2018-03-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,55,488571
2018-03-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,381,483397
2018-03-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,624,502478
2018-03-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,257,466490
2018-03-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,154,452289
