Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3203,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26302,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50916,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66347,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62120,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61819,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74917,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73123,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71652,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75746,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66406,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76357,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73830,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76721,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73696,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71278,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76019,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73883,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78208,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73347,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74367,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75748,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38694,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73972,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89166,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81433,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98139,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84704,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99893,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92968,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100835,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110369,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100126,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108955,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116201,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101828,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82596,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94734,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77784,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90159,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109215,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48970,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109720,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112806,0
