Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1296,247439
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,186,261363
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,45,248415
2018-08-27 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,272,230695
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2650,271055
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,247,256212
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,681,262025
2018-08-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,293,245152
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,633,266386
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2344,251200
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3966,300275
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8596,350961
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,413,375790
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,213,345886
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5,336213
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,58,330597
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,838,325689
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2798,381361
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39144,416601
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,9195,303409
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15923,392239
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3970,399405
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,386,413118
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1732,450160
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5275,481694
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3037,496888
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,442,498484
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,678,452050
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,248,495252
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,400,522364
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2142,566837
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15206,618688
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6229,665139
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1081,658266
2018-07-27 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,2052,728787
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1241,691364
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,721,702967
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,597,654915
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,185,805590
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,3553,784776
2018-07-21 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,903,657500
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1744,684214
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,82,709441
2018-07-18 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3214,765380
2018-07-17 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,2254,731327
2018-07-16 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,4641,711912
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,268,740222
2018-07-14 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2051,744457
2018-07-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,448,729805
2018-07-12 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,4156,831691
2018-07-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,584,693559
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,77,690648
2018-07-09 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,83,777353
2018-07-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,934,905153
2018-07-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4048,877381
2018-07-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4107,784341
2018-07-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3012,836311
2018-07-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1342,852273
2018-07-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9910,852184
2018-07-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3691,782488
2018-07-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,891,844159
2018-06-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1766,746612
2018-06-29 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,2052,743429
2018-06-28 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,1288,777450
2018-06-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,174,802735
2018-06-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,417,831974
2018-06-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5347,819751
2018-06-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,152,1011015
2018-06-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,765,842734
