Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210,35928
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,36166
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218,35113
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,34265
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,34487
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,68325
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,364,33361
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,32475
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,33075
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,64053
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,287,33076
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,65317
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1281,33610
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,32227
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,32001
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,31604
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,31948
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,32215
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76,31903
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,122,31406
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1502,33351
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,32041
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259,68606
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,35388
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,35963
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,336,71542
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,75710
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,76924
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,693,39159
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123,39508
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,41702
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,615,41919
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,41917
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,41674
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,40543
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,990,41674
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,541,42212
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,39355
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,37717
