Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,232135
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,232878
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,216068
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,305738
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,233438
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,199708
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,205283
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,189843
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,193347
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,187221
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,203530
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,211011
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,215101
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,208225
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,216609
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,324,223646
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,279,245735
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,257980
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,245391
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,241572
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,246266
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,266169
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,295514
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,304858
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,309812
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,308160
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,337762
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,358552
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,334446
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,364670
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,397746
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,425609
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,793,425590
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,423128
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,411642
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,423128
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,467546
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,387474
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,371342
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,394951
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,356754
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,351750
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,358607
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79,356297
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,357,348643
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,442,310064
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,324437
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,322955
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,323253
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167,320847
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,307379
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,299,365906
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,586,389404
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,360575
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,393500
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,379432
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88,361765
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,194,407992
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,412739
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,395700
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,400903
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,778,379715
