Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658095,1901871
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,582068,2200360
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,697095,2140369
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,668601,2056001
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,652993,1979021
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,594263,2110731
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,673432,1945912
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,578021,1770676
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,595926,1776688
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,591000,1681364
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,636521,1758366
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,617409,1671088
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,618903,2064616
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,623537,1534392
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,527027,1789265
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,595475,1734367
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658781,1946008
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,643142,2358108
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,745871,2241261
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,720838,2440408
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,797305,2464008
2018-08-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1061120,2262247
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2346880,2835656
