Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,869813
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,330,750497
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,850091
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,305,829575
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,834936
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,3145,945229
2018-08-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,98142,807658
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,267,786220
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,218,915124
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,5,886128
2018-08-20 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,1387,800760
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,13260,903610
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,20178,1162424
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4137,1003141
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,36390,1106774
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,58334,1093048
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33886,1546898
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,90702,1449981
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,1434391
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1436,1520693
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,81409,1499484
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6328,1551416
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,132005,1423661
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1811,1346291
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,287690,1243787
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,124423,1608302
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,306204,1178316
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,143,1064183
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,1074148
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76,1366422
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,2444,1442281
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,512,1884711
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,168259,1884623
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,69,1737393
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48,1822870
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,917,1729598
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67184,1751897
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39,1633354
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,39,1498925
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,177,1436357
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,180,1293640
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2200,1713409
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87,1820506
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,388,1808776
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,1543886
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,1459172
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,418,1547214
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,80,1540144
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,203,1651679
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,742,1803326
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7794,1671902
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8280,1762785
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2830,1892895
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,277,1788192
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,115,1862451
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8490,1729141
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,99,1859029
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,96,1719844
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5745,1855836
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,250,1791120
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,1802620
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,1751135
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,110,1449171
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2423,1947489
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,894,1930495
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,799,1873541
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6088,1518843
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14781,1631585
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8741,1601226
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7279,1894989
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40,2024476
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2941,2144680
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12080,2136816
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,169,2284976
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22099,2072595
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29946,1699149
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,131,1874993
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,166,1783450
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2467,1857850
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1110,1943791
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13591,1553607
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10871,1853390
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19,1883452
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9,1897133
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,291,1890771
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1145,2420559
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1900,2117292
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5,2311573
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,51,2289367
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,232,2253916
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,599,2114281
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,278,2083529
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,166,2238317
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57,2260098
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,129,2073011
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26,2070100
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,2239321
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,447,2401149
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,177,2387425
2018-05-23 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1628,2541061
2018-05-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1234,2966004
2018-05-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,844,3158659
2018-05-20 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,2072,2763330
2018-05-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,2158,2470510
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,692,2137291
2018-05-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,67,2503314
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76,2544642
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1974,2142085
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,166,2145994
2018-05-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,457,2240392
2018-05-12 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2981,2813435
2018-05-11 00:00:00 +0000 UTC,0.3,0.3,0.1,0.2,4360,4623107
2018-05-10 00:00:00 +0000 UTC,0.1,0.3,0.1,0.3,29101,1971407
2018-05-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,57,1947091
2018-05-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,296,1817413
2018-05-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,404,1695726
2018-05-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1144,2080377
2018-05-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,352,2051580
2018-05-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,817,2235164
2018-05-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6801,2276602
2018-05-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,577,2243044
2018-05-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4435,2118947
2018-04-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,970,2155795
2018-04-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1899,2142940
2018-04-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3874,1572597
