Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1274560,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1133970,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1568520,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1346440,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1237410,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,792982,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1143450,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,790212,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,563645,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,951814,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1767980,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,828159,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,732667,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1387650,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,865977,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1136410,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,631709,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1024730,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,681059,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,762395,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,665558,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1298010,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1013240,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,979298,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,849112,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,764134,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,975339,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,900833,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1440430,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,969654,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1272810,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1237950,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1806360,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1770820,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1546590,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1308220,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1317400,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,981021,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1828390,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2117600,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1935870,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1694340,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1667800,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1080170,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1194220,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1235630,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,731502,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,996650,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1301090,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,925680,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1198850,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,500678,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,746932,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1044970,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1014270,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,976710,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,901055,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,793713,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,992462,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,898106,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,748018,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,562224,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,703867,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,657368,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,520070,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,510592,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,430016,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,377522,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,455042,0
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,459753,0
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,601819,0
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,642106,0
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,680659,0
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,511104,0
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,539132,0
