Date,Open,High,Low,Close,Volume,MarketCap
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,36554
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,36554
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,32986
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,32986
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,47315
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,47315
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,47315
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,46555
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,46555
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,34390
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,34390
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,37606
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,37606
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,31992
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,31992
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,40297
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,32928
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83,49245
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,33980
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,50473
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,50473
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,59246
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,79658
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,63574
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,66658
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,70323
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144,66982
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,66133
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,67268
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,64624
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,63892
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,43534
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,19258
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,415,36974
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,276,57106
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,81359
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,13991
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,64895
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,82064
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,80596
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,81061
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,76370
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,65467
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,64847
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,72572
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,70751
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,60418
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,65078
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,74461
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,52741
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,58076
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,67000
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,80977
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237,83081
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15350,92722
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,97130
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,68655
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303,80399
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15079,77998
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14994,87379
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1311,93918
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,94228
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,95017
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,91040
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,436,90305
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,95284
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,975,90055
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1007,98008
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,393,98105
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,99290
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,546,101641
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,111044
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,98923
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15186,96854
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,119463
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,523,125668
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,423,151562
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,149815
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5323,100724
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6347,93512
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167,92658
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72,98204
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,155,129405
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,98076
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,123982
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,353,97140
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210,106960
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,96471
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,157,93769
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,120467
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,105546
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,101337
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413,96438
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,89477
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,93106
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,81322
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252,101484
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,96064
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,87314
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114,54600
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,459,99966
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251,121407
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2091,195886
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1554,184246
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211,190753
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191,166690
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,227,139860
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,439,218588
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1663,221407
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1559,266326
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1438,187828
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274,219025
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,859,274605
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2256,212761
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138,279434
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,554,193832
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,557,206308
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,224055
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,649,200992
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,245325
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146,250570
2018-03-15 00:00:00 +0000 UTC,0.0,0.2,0.0,0.0,1189,236422
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,269126
2018-03-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,244,333332
2018-03-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,880,322903
2018-03-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,62,327295
2018-03-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1183,340708
2018-03-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2285,330773
2018-03-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1421,326937
2018-03-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,280,376916
2018-03-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,413,314294
2018-03-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65,478459
2018-03-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,440,432291
2018-03-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,205,562997
2018-03-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1298,598758
2018-03-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1746,516163
2018-02-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1559,384426
2018-02-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,418,451670
2018-02-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,264,471485
2018-02-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1034,585874
2018-02-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,399,457590
2018-02-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,203,468313
2018-02-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1796,518012
2018-02-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2145,816194
2018-02-20 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,5417,844750
2018-02-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,392,672981
2018-02-18 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,560,713259
2018-02-17 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1281,755303
2018-02-16 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,2080,948386
2018-02-15 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,3414,686457
2018-02-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,449,711892
2018-02-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1239,745872
2018-02-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,861,609992
2018-02-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,499,742124
2018-02-10 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1982,814090
2018-02-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,588,755265
2018-02-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1301,683971
2018-02-07 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,7418,931361
2018-02-06 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,3965,564020
2018-02-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1675,831665
2018-02-04 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,353,836137
2018-02-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,1635,912167
2018-02-02 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,2840,766362
2018-02-01 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,7163,1289639
2018-01-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7394,1232333
2018-01-30 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2597,1256837
2018-01-29 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2033,1444032
2018-01-28 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,583,1333734
2018-01-27 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,950,1439801
2018-01-26 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,7311,1633540
2018-01-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1767,1545739
2018-01-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,4303,1592924
2018-01-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,17582,1751160
2018-01-22 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,16914,1453944
2018-01-21 00:00:00 +0000 UTC,0.4,0.4,0.2,0.2,30446,2144151
2018-01-20 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,47249,1712750
2018-01-19 00:00:00 +0000 UTC,0.2,0.4,0.2,0.3,33460,1018701
2018-01-18 00:00:00 +0000 UTC,0.2,0.3,0.1,0.2,38173,1349956
2018-01-17 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,36637,1036502
2018-01-16 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,22243,1616245
2018-01-15 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,63968,1389615
2018-01-14 00:00:00 +0000 UTC,0.2,0.5,0.2,0.2,86527,1103718
2018-01-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,49939,556073
2018-01-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14187,409561
2018-01-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6148,486227
2018-01-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5613,486723
2018-01-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7414,408760
2018-01-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5196,449544
2018-01-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6765,532611
2018-01-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9848,590126
2018-01-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13589,512597
2018-01-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11949,324202
2018-01-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,6308,297644
2018-01-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,4918,265735
2018-01-01 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,2753,284361
2017-12-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4288,251505
2017-12-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,6910,389155
2017-12-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6024,417857
2017-12-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5905,416859
2017-12-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9593,525739
2017-12-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,39160,272936
2017-12-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,4286,278789
2017-12-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3447,283560
