Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,6.8,6.9,6.3,6.6,2401050,68982019
2018-08-29 00:00:00 +0000 UTC,7.5,7.5,6.5,6.8,3176990,76355792
2018-08-28 00:00:00 +0000 UTC,6.9,7.7,6.7,7.5,4774650,69752068
2018-08-27 00:00:00 +0000 UTC,5.8,7.0,5.7,6.9,4744540,58196183
2018-08-26 00:00:00 +0000 UTC,5.6,5.8,5.3,5.7,2260000,57027331
2018-08-25 00:00:00 +0000 UTC,5.7,5.7,5.3,5.6,2449820,57364905
2018-08-24 00:00:00 +0000 UTC,5.7,6.2,5.3,5.7,4275850,57246068
2018-08-23 00:00:00 +0000 UTC,4.7,5.7,4.6,5.6,3089150,47485447
2018-08-22 00:00:00 +0000 UTC,5.0,5.4,4.6,4.7,1932620,50881785
2018-08-21 00:00:00 +0000 UTC,4.9,5.1,4.8,5.0,1794920,49276436
2018-08-20 00:00:00 +0000 UTC,5.5,5.6,4.9,4.9,1638120,55679206
2018-08-19 00:00:00 +0000 UTC,5.1,5.6,5.0,5.5,2198590,52108056
2018-08-18 00:00:00 +0000 UTC,5.8,6.0,4.8,5.2,2811240,59281072
2018-08-17 00:00:00 +0000 UTC,4.2,6.0,4.2,5.9,3994180,42625976
2018-08-16 00:00:00 +0000 UTC,4.1,4.5,4.1,4.2,2502140,41788120
2018-08-15 00:00:00 +0000 UTC,4.2,4.3,4.0,4.0,2714830,42572560
2018-08-14 00:00:00 +0000 UTC,4.1,4.2,3.6,4.2,2676590,41791481
2018-08-13 00:00:00 +0000 UTC,5.0,5.1,4.1,4.1,2585740,50604045
2018-08-12 00:00:00 +0000 UTC,5.0,5.2,4.9,5.0,2494380,50401309
2018-08-11 00:00:00 +0000 UTC,5.9,5.9,4.7,5.0,4432460,59724322
2018-08-10 00:00:00 +0000 UTC,6.5,6.6,5.8,5.9,3044720,66223215
2018-08-09 00:00:00 +0000 UTC,6.5,6.8,6.2,6.6,3853720,66171051
2018-08-08 00:00:00 +0000 UTC,7.6,7.6,6.4,6.5,2799940,76656105
2018-08-07 00:00:00 +0000 UTC,7.8,8.2,7.6,7.6,2762890,79401005
2018-08-06 00:00:00 +0000 UTC,8.2,8.4,7.8,7.8,2003830,83476016
2018-08-05 00:00:00 +0000 UTC,8.0,8.2,7.9,8.2,2488350,81413271
2018-08-04 00:00:00 +0000 UTC,8.3,8.6,8.0,8.0,2411880,84442474
2018-08-03 00:00:00 +0000 UTC,8.6,8.6,8.1,8.3,2661900,86732074
2018-08-02 00:00:00 +0000 UTC,8.9,9.0,8.5,8.6,2100400,90394726
2018-08-01 00:00:00 +0000 UTC,9.1,9.1,8.7,8.9,2563460,91875052
2018-07-31 00:00:00 +0000 UTC,10.0,10.0,9.0,9.1,3056100,100961463
2018-07-30 00:00:00 +0000 UTC,10.3,10.3,9.5,10.0,3002800,104115646
2018-07-29 00:00:00 +0000 UTC,10.3,10.4,10.1,10.3,2314460,104793240
2018-07-28 00:00:00 +0000 UTC,10.2,10.4,10.1,10.3,2431210,103515032
2018-07-27 00:00:00 +0000 UTC,10.0,10.3,9.8,10.2,3275550,101126352
2018-07-26 00:00:00 +0000 UTC,10.6,10.8,9.9,10.0,3626450,106994128
2018-07-25 00:00:00 +0000 UTC,10.7,11.1,10.4,10.6,3738030,108028240
2018-07-24 00:00:00 +0000 UTC,10.3,10.8,10.0,10.8,3911310,104382016
2018-07-23 00:00:00 +0000 UTC,10.8,11.2,10.3,10.3,3725950,109879696
2018-07-22 00:00:00 +0000 UTC,11.1,11.3,10.8,10.8,3061890,112144408
2018-07-21 00:00:00 +0000 UTC,10.7,11.2,10.4,11.1,3658830,108003928
2018-07-20 00:00:00 +0000 UTC,11.8,11.8,10.5,10.7,4197150,119423672
2018-07-19 00:00:00 +0000 UTC,12.4,12.4,11.8,11.8,3392990,125913936
2018-07-18 00:00:00 +0000 UTC,12.6,13.1,12.3,12.4,4010440,127845416
2018-07-17 00:00:00 +0000 UTC,11.9,12.8,11.6,12.6,4461600,120099240
2018-07-16 00:00:00 +0000 UTC,11.0,11.9,10.7,11.8,4293700,111416176
2018-07-15 00:00:00 +0000 UTC,10.6,11.1,10.5,11.0,2646700,107785152
2018-07-14 00:00:00 +0000 UTC,11.2,11.3,10.3,10.6,2652460,112938472
2018-07-13 00:00:00 +0000 UTC,10.2,11.5,10.2,11.1,4485550,103344872
2018-07-12 00:00:00 +0000 UTC,10.8,10.8,9.9,10.1,2851580,109168688
2018-07-11 00:00:00 +0000 UTC,11.2,11.6,10.0,10.8,5610270,113552248
2018-07-10 00:00:00 +0000 UTC,12.4,12.4,11.1,11.2,4386260,125918992
2018-07-09 00:00:00 +0000 UTC,13.8,13.8,12.4,12.4,4219990,139794880
2018-07-08 00:00:00 +0000 UTC,13.6,14.6,13.6,13.8,5124620,137421792
2018-07-07 00:00:00 +0000 UTC,13.2,13.5,12.8,13.5,4630590,133235736
2018-07-06 00:00:00 +0000 UTC,14.1,14.1,12.9,13.1,6266480,142316832
2018-07-05 00:00:00 +0000 UTC,13.8,16.2,13.5,14.1,15534100,140043024
2018-07-04 00:00:00 +0000 UTC,11.6,14.6,11.3,13.7,10071700,117569160
2018-07-03 00:00:00 +0000 UTC,11.4,12.5,11.4,11.6,7239650,115787584
2018-07-02 00:00:00 +0000 UTC,10.2,11.8,10.2,11.4,5621610,103763176
2018-07-01 00:00:00 +0000 UTC,9.9,10.3,9.8,10.2,2837460,100811064
2018-06-30 00:00:00 +0000 UTC,9.7,10.3,9.7,9.9,3488490,98465936
2018-06-29 00:00:00 +0000 UTC,9.3,9.8,9.0,9.7,3369020,94294056
2018-06-28 00:00:00 +0000 UTC,9.9,10.1,9.3,9.3,2762960,100610816
2018-06-27 00:00:00 +0000 UTC,10.0,10.0,9.5,9.9,3437500,101667016
2018-06-26 00:00:00 +0000 UTC,10.7,10.7,9.9,10.0,4306880,108096520
2018-06-25 00:00:00 +0000 UTC,10.4,10.9,10.3,10.7,3196030,105879208
2018-06-24 00:00:00 +0000 UTC,11.6,11.6,9.6,10.5,4703840,117685640
