Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2565,1548703
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10720,1723154
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5490,1847518
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4384,1802852
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1948,1817175
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3695,1804997
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1177,1727848
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2416,1753762
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5763,1790322
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10681,1733108
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1987,1752783
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1988,1776716
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1885,1877256
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1030,1713344
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1369,1599416
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3797,1610635
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10260,1660297
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7175,1811491
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1550,1849081
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9797,2056007
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16168,2152957
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2445,2077184
