Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,46413
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1457,50455
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,47198
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1613,46036
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1846,46259
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3017,46014
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2989,44821
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163,41948
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,907,43342
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,43029
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2488,39311
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1319,38813
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4085,36627
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,282,36630
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,900,38033
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,773,35218
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,560,36318
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2235,41606
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,269,45596
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,43799
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2704,41360
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2312,41414
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4999,42540
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4368,45606
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3017,49095
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5046,64668
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8285,87907
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15667,95536
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15748,98261
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58643,95676
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21806,79723
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10568,81914
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12184,88428
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50434,94851
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34915,92462
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59301,53166
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7952,57911
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14743,57730
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2242,45693
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231,47910
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,436,51309
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1117,56772
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1071,57156
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2029,62088
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1038,55404
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15939,55544
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10871,54695
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11113,54430
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12687,60714
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10486,62099
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14533,63037
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48023,71423
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14980,63585
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2839,65854
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222,65681
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,365,62259
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1074,62722
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2140,64892
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13138,67303
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17333,63941
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10752,65876
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24232,59007
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1716,54335
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3035,67273
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19823,66704
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15931,90306
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,970,81082
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2178,93221
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,989,93409
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1396,110815
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2153,93992
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1304,102198
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2523,94966
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5449,92431
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9302,116806
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6365,119763
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1577,127167
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1730,109934
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1591,93662
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1326,99729
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2044,105400
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1879,119811
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2447,136152
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21723,133968
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3621,190748
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10105,205236
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4065,204119
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12113,186587
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2358,191520
