Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,105071,2423175
2018-08-29 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,58227,1859491
2018-08-28 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,25487,1898236
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,76432,2413625
2018-08-26 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,45426,1829513
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,64705,2833851
2018-08-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,130656,1763996
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,53237,1344434
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48185,876553
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16268,821865
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8115,784174
2018-08-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,16342,734856
2018-08-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,13076,733063
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13249,597403
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9661,627027
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12934,601211
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9123,595698
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25304,631597
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11411,576252
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8900,578591
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23554,582907
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17588,475542
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15616,465859
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9541,450525
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9418,387822
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12427,365318
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8777,416702
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10864,346382
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4857,515327
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14669,385359
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9496,404937
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12528,414109
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2975,467864
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,595394
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3803,456512
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1392,472786
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2631,575713
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4995,492063
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3188,510007
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3934,359000
