Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,9374,2617194
2018-08-29 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,15423,2622332
2018-08-28 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,18989,2513463
2018-08-27 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,12528,2280880
2018-08-26 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,13145,2422828
2018-08-25 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,17709,2598049
2018-08-24 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,16735,2469712
2018-08-23 00:00:00 +0000 UTC,0.5,0.7,0.5,0.6,59301,2112242
2018-08-22 00:00:00 +0000 UTC,0.6,0.6,0.4,0.5,44718,2561408
2018-08-21 00:00:00 +0000 UTC,0.7,0.7,0.5,0.6,24745,2776512
2018-08-20 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,54657,3036760
2018-08-19 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,14594,3049429
2018-08-18 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,23056,3418569
2018-08-17 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,23340,3309858
2018-08-16 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,22706,2884635
2018-08-15 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,42306,2982312
2018-08-14 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,23923,2715410
2018-08-13 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,22447,2971965
2018-08-12 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,11131,2815791
2018-08-11 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,32330,3059448
2018-08-10 00:00:00 +0000 UTC,0.8,0.9,0.7,0.8,21030,3386432
2018-08-09 00:00:00 +0000 UTC,0.8,0.9,0.7,0.8,27229,3202635
2018-08-08 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,20356,3078472
2018-08-07 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,10606,3085974
2018-08-06 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,21173,3641831
2018-08-05 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,13814,3287523
2018-08-04 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,30770,3684526
2018-08-03 00:00:00 +0000 UTC,1.2,1.2,0.9,0.9,47007,4834666
2018-08-02 00:00:00 +0000 UTC,0.9,1.2,0.9,1.2,112029,3547429
2018-08-01 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,38604,3571500
2018-07-31 00:00:00 +0000 UTC,0.8,1.0,0.8,0.9,42352,3247360
2018-07-30 00:00:00 +0000 UTC,0.9,1.0,0.8,0.8,21689,3315443
2018-07-29 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,19525,3394183
2018-07-28 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,19986,3373089
2018-07-27 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,21090,3047816
2018-07-26 00:00:00 +0000 UTC,0.8,1.0,0.8,0.8,39457,2890022
2018-07-25 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,39535,2582194
2018-07-24 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,24108,2454528
2018-07-23 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,23596,2827024
2018-07-22 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,14391,2856433
2018-07-21 00:00:00 +0000 UTC,0.6,0.8,0.6,0.8,35744,2304429
2018-07-20 00:00:00 +0000 UTC,0.8,0.8,0.6,0.6,24073,2748208
2018-07-19 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,26897,2862166
2018-07-18 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,21406,2911580
2018-07-17 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,18394,2582517
2018-07-16 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,26210,2460993
2018-07-15 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,13132,2390994
