Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,1023814
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,632,1143996
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3672,1011464
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57,1021029
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,298,1045943
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,979,763834
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,468,810364
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,757475
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,884086
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,777,799667
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,940662
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,300,918919
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1841,976888
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2143,884903
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146,802300
2018-08-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1641,688152
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1983,673961
2018-08-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,1559,776693
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,768471
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,707720
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2293,671225
2018-08-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,13074,554754
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2062,578040
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1446,630997
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2082,623739
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1558,566224
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,681320
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1536,578641
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,209,637543
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,277,698167
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,743450
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,635,800740
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,802388
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1548,818981
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,457,816286
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2613,824094
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1072,819468
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,623,828543
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2933,748624
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,857322
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,149,812536
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,309,867106
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1168,953956
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2704,810235
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,763209
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,579,723430
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1566,671207
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1392,748518
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,313,751087
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,655,782216
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2832,857315
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,957386
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241,887655
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,240,1081661
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,830,820241
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,901263
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1587,900361
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,865356
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,404,1239567
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,758,827583
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1245,935525
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,926488
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302,937197
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,641,1020334
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,948237
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2341,1092385
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,516,1107674
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,804,1242503
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5012,1108127
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,976,1445433
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3324,1270882
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2001,1228436
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5944,1130835
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18882,1075715
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,697,1115687
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61,1045663
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1441,1175751
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,896,1048477
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2517,1033730
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1628,1170519
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1310,1322409
2018-06-10 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,7112,1430542
2018-06-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,5088,1244232
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,932,1367328
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3379,1221153
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12317,1559301
2018-06-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,844,1559364
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,28686,1741220
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,2479,1754038
2018-06-02 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,8909,1513657
2018-06-01 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,4022,1586985
2018-05-31 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,3138,1595605
2018-05-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,572,1443608
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3215,1353644
2018-05-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,6022,1496884
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2848,1563794
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2178,1873649
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1412,1926399
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2377,1805785
2018-05-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2226,1825737
2018-05-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5676,1855556
2018-05-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3185,1772806
2018-05-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,73443,1902200
2018-05-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6280,1909443
2018-05-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8410,1913938
2018-05-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4233,2046941
2018-05-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8551,1986753
2018-05-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7254,2101769
2018-05-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2625,2185571
2018-05-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,26968,2305325
2018-05-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23550,2439449
2018-05-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13075,2524176
2018-05-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27521,2648932
2018-05-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19177,2253508
2018-05-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,28869,3004509
2018-05-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8679,3236428
2018-05-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11152,3401276
2018-05-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11514,3274023
2018-05-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16254,3126874
2018-05-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19914,3001340
2018-05-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,30296,3039392
2018-05-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,52102,2817208
2018-04-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76070,2266722
2018-04-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,23255,2385730
2018-04-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,35784,2663851
2018-04-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22074,2977362
2018-04-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,50372,2941225
2018-04-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,58518,2938762
2018-04-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,159843,2805572
2018-04-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,73305,1821314
2018-04-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,53446,1593365
2018-04-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,58855,1610359
2018-04-20 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,110539,1435267
2018-04-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,121821,1723692
2018-04-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,117979,1601561
2018-04-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,107408,0
2018-04-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,159622,0
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75499,0
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65320,0
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62609,0
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45922,0
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62545,0
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42951,0
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56415,0
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6552,0
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16053,0
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32948,0
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55161,0
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47803,0
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58426,0
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57218,0
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52455,0
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47098,0
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41935,0
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51130,0
