Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,262117
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,263855
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49,269425
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,263324
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,238593
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,262130
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,239191
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,179,220587
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,228819
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,261854
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,228827
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,234156
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,236751
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,271603
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,209316
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,210696
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,269246
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,231821
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,228738
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120,311743
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,226533
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,237789
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,513,349503
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,360555
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,359421
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,368959
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,414265
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,377364
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46,366248
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,528,422419
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,451116
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,455664
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,500895
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,503241
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,464081
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,471787
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,525657
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,470807
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58,474427
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,210,474908
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,859,442264
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,460181
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,444560
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,474590
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,423290
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189,408229
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,467,418019
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,416109
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,416493
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,430412
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,425646
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,465880
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,460394
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,450916
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187,495327
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,515685
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114,519769
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,496232
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,506224
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,484500
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,310,487610
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249,398052
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,376471
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33,393498
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,409568
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,408841
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,422191
