Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25379,8754788
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18274,7540512
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17328,7252531
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12415,7043583
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33039,6977923
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17830,6847801
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13902,7239701
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17186,6626232
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30630,6798557
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66656,6563031
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16092,7352200
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14600,7165055
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12083,8090546
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14977,7589594
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15123,7461554
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18532,6639884
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17088,6763711
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18240,7478262
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49478,7542374
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34757,7932690
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19329,8346894
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15237,8582507
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6363,8724300
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19978,9258247
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27506,9252653
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29633,9698854
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39612,9716266
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33281,9434890
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45494,10765358
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22669,11146340
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27975,11779853
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32112,11952472
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36059,11797320
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49393,12600061
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15620,13342613
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61980,13837404
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56733,14556894
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78418,15759047
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63068,16724677
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35920,16059249
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55491,18100986
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145557,15808652
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69281,15349224
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56312,15011668
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37241,15972159
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37629,15105345
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58818,14977741
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54993,14813641
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48872,14975370
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18236,15718268
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38225,16233101
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25610,14919835
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34528,15794489
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22703,15581902
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30952,15469911
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58580,14719831
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33423,16082372
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54332,17437798
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37663,16714730
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62480,16806496
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42397,17533124
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48117,14658960
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35254,15739811
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36798,15473387
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195321,17513768
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53159,18559236
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55037,18684792
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63288,19827784
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66103,17289084
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,87323,23744852
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,267986,21986848
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112501,21617104
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89600,22034266
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198935,23797812
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67445,23364716
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88605,25718718
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85758,26096128
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278442,29089236
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369070,29761476
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47263,31551522
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85330,30478388
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71308,35497328
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,297254,33819048
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,362750,33275754
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,373548,31824122
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278670,33445998
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,281253,36135908
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168348,39121572
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57803,35710216
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58798,35718948
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,222571,36077832
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261446,35113836
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,412979,37865568
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,337000,36689088
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,720456,34615052
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,325628,34521400
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,323142,37611172
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,383226,42697364
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,344869,34674672
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,413722,40993252
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,240643,36486532
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174557,39914912
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,305102,43662444
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,311046,44322808
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,167415,46905916
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,315184,39020696
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,616629,55850516
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,931627,46348212
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,775822,46784084
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,763408,26989288
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40551,27368990
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126448,28972432
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72464,25306988
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,152382,25220140
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111325,28377258
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33323,29796732
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56457,30978464
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55228,31454172
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72290,31172256
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102770,29715164
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76844,26344644
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62333,31790608
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63165,30879692
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53795,31669148
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112354,26814928
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73673,32018992
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91529,24507000
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66444,31252776
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,217910,29367542
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,400329,19371290
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40281,18607562
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86770,22647220
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53677,21513872
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97809,20950066
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48362,15725445
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,229353,17087574
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32993,22266698
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93414,16289206
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,567218,25939500
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59920,25953498
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89581,23389610
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21435,22734160
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73019,22889702
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27388,23495758
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37252,23623592
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24692,22478350
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37025,26606460
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68140,22656204
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64501,24941602
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172518,24245932
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52747,27132786
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84178,31401968
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118996,31072328
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160692,36693428
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188180,31116942
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159562,26005740
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57476,27121018
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156949,32847316
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,58197,32878390
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82019,34115688
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,79337,34586216
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90544,35693588
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71009,34836728
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88546,34032404
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,499419,37287176
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121199,36134660
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124653,42195996
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101908,42924732
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278178,38096028
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,358730,48052068
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170829,48211016
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,219389,50070848
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290466,46384956
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110256,47495200
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186864,52918924
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170702,57437712
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141962,56333456
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,184471,67021512
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207447,60446820
2018-03-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163029,60276620
2018-03-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,502025,65299224
2018-03-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,324814,65402572
2018-03-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,201184,67897496
2018-02-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,367699,70141432
2018-02-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,804588,74686800
2018-02-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1958300,50664876
2018-02-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,755130,57240752
2018-02-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2542830,53554832
2018-02-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1591980,65301348
2018-02-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1257010,81827904
2018-02-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1668280,89333416
2018-02-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,823575,96811184
2018-02-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,657914,108017264
2018-02-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,696387,109359008
2018-02-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,898095,99593296
2018-02-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1013890,107251104
2018-02-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,605116,111868960
2018-02-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,464543,105771136
2018-02-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235193,110772200
