Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6010,921150
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6389,912028
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7187,1193151
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21517,848454
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8837,676275
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6097,614733
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5791,818194
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6751,754675
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5570,893785
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4409,858422
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4402,792439
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5011,728975
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5030,886354
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5029,858922
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9810,841767
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4836,815114
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11412,965912
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8590,936619
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3979,958119
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10079,1145140
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10730,1488666
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4876,1147438
2018-08-08 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,7824,1115239
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8018,1184621
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6267,1231107
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8910,1014997
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1621,1037416
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6068,1053789
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,755,1044605
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1495,1035022
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1798,1136784
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13627,1158781
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,625,1081328
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1810,1056872
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1156,1250161
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1256,1065472
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2707,1302993
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1512,1028931
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,636,1293519
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1605,1170257
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,336,1162277
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2658,1179777
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3590,1364437
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2242,1361903
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5379,1327387
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11584,1383780
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34287,940299
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3969,978050
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3434,977885
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9760,894975
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5264,993486
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2779,1159701
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7520,1358563
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11584,1412389
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6994,1387760
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15771,1550051
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8956,1617564
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6146,1539408
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6592,1822355
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1078,1698114
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15598,1790833
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40307,2070950
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28634,2058186
2018-06-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,28269,2301703
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,9007,2602349
2018-06-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,36385,2190731
2018-06-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,7067,2179164
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,20816,2695372
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,13998,2458552
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,32977,2542714
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,19459,2734358
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,20842,2888017
2018-06-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,71237,2371356
2018-06-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,13740,2405000
2018-06-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,13648,2399486
2018-06-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,16232,2388500
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,27649,2858174
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,71366,2711980
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,16124,2778768
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38469,2959281
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,46943,3198560
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,68425,3515574
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43351,3750185
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,104020,3744897
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,91927,5235715
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,186304,3233167
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,88551,3340804
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,61064,3315270
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,120911,3526041
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,161639,3547439
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,144415,4385833
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,101833,5269245
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,87922,5522625
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,163306,0
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,182195,0
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,225568,0
2018-05-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,376005,0
2018-05-25 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,484931,0
2018-05-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,535288,0
2018-05-23 00:00:00 +0000 UTC,0.2,0.3,0.1,0.1,336316,0
