Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105823,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56866,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12661,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,289338,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59926,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25553,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20263,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25400,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36611,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45564,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,57327,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,178926,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95622,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134688,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112501,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96472,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220160,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85270,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,83079,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93744,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,418320,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,375433,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133418,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180381,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,311581,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,373097,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,332787,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303955,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351431,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,260893,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,446698,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3273030,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4986670,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4937720,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4443550,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5406980,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9210630,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11065800,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9656140,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10695800,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9152540,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6564470,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7662470,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9763240,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8663170,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8994780,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7941840,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7065400,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7335520,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7623770,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7474120,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4751330,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2615450,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1879650,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1723830,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,999879,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1147650,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1375830,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1562030,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,832074,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54983,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45966,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39426,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,706,0
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259819,0
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,264450,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,177216,0
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243634,0
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,163685,0
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,328499,0
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,363989,0
2018-06-05 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,367483,0
