Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,986486,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1194930,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1404350,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1171410,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1153350,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1296240,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1291150,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1325900,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1348760,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1506350,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1524710,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1672090,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1573690,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1851420,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1626580,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1541940,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1913030,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1971280,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2215990,0
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,2578680,0
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2373210,0
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2847690,0
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3764280,0
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2856090,0
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3037860,0
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3175490,0
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3023190,0
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2943630,0
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2891750,0
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2919630,0
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3840090,0
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4250150,0
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3666160,0
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3875000,0
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4203320,0
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3943890,0
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4602550,0
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5532620,0
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4836700,0
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3505260,0
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4015540,0
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4041360,0
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3971360,0
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4522150,0
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5568440,0
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9127350,0
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3820300,0
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2683920,0
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6519450,0
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7170850,0
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3312130,0
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3420730,0
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3763990,0
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3571940,0
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4208770,0
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4553030,0
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4250610,0
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3628390,0
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3796050,0
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3477000,0
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2769920,0
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3637160,0
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3339190,0
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3181100,0
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3099300,0
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3254520,0
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4752720,0
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5179340,0
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4186900,0
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4785460,0
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3959940,0
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4368260,0
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4824820,0
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3678990,0
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3780810,0
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3800080,0
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3819550,0
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4060610,0
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4851330,0
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4635230,0
2018-06-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5140790,0
2018-06-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7339640,0
2018-06-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7351020,0
2018-06-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6449530,0
2018-06-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5885000,0
2018-06-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6036090,0
2018-06-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6896880,0
2018-06-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5689150,0
2018-06-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5343330,0
2018-06-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6453410,0
2018-06-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6460330,0
2018-05-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6476350,0
2018-05-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6244320,0
2018-05-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6565960,0
2018-05-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6190850,0
2018-05-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6279750,0
2018-05-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6255470,0
2018-05-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6214310,0
2018-05-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7426860,0
2018-05-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7988970,0
2018-05-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,8314790,0
2018-05-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,12385700,0
2018-05-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11018400,0
2018-05-19 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,8871830,0
2018-05-18 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,10053900,0
2018-05-17 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,7704590,0
2018-05-16 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,7952730,0
2018-05-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8224520,0
2018-05-14 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,8563300,0
2018-05-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,7862740,0
2018-05-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,9885900,0
2018-05-11 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,11092000,0
2018-05-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9910160,0
2018-05-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9632850,0
2018-05-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9047740,0
2018-05-07 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,9126260,0
2018-05-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9921410,0
