Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27815,54191
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11229,81222
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10012,75914
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18857,77025
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75439,51940
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8258,45900
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,32046
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,479,48813
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,47632
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,386,48075
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,299,49625
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,205,48967
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,189,49693
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3032,48246
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15757,111890
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,503,94459
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158,116420
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,314,96282
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,168,118998
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369,117084
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,244,124306
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,101319
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,515,139223
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1128,106761
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,524,106583
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64,134975
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,328,124883
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,294,128801
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,132054
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211,134072
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113,141321
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233,145206
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,264,161556
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,819,153693
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,190,128776
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,153513
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,522,155398
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,144792
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,201,162848
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,138726
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,138006
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,140556
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,760,143045
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,164379
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,136591
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,128623
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,140426
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,363,124208
