Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117726,24247245
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113557,23459808
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135433,22977781
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109476,19840843
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109108,19897217
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94023,21874565
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135012,21003216
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113927,15902967
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108405,17245355
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101538,16967472
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94433,17959432
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104191,18067083
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96846,19314933
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109702,19262836
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107816,18684001
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120479,22425326
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119028,22048368
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104515,22368481
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101935,24692793
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96548,23278607
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123418,26037736
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127151,20925389
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,120728,28651931
2018-08-07 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,197194,23916643
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170218,22101510
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141535,16597292
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117419,19119771
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,160382,18324610
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129902,15314900
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105662,19993847
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,135366,15808138
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118467,18480876
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113338,18852438
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127687,20818816
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113543,19518590
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91082,20861696
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105840,23898020
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138519,21279642
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119017,20605566
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104873,19975558
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111640,21327776
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98122,20180706
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110163,22063166
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134219,22940174
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,145227,24040170
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104652,24217856
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100599,23080264
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104342,24829786
2018-07-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,108582,22069120
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74040,25207704
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66490,26123022
2018-07-10 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,75988,27501558
2018-07-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,78811,28296010
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,98362,29703376
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,114572,29596058
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,82404,30951120
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,93337,32634264
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,147072,32506794
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,132771,32941072
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,119506,28847192
2018-07-01 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,85986,28476502
2018-06-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,94543,27402354
2018-06-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,85195,25699010
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74182,25624506
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77684,25763600
2018-06-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,81849,28263326
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89581,27682182
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,83241,29048926
2018-06-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,78320,27630214
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,89021,31685426
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,104332,33478958
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,117950,33933504
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,182560,34284160
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,180662,38216576
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,151225,33704652
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,165988,30614644
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,171867,31060594
2018-06-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,149252,27871370
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,133304,28991144
2018-06-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,146321,32232470
2018-06-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,147619,32193274
