Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,79546,5342907
2018-08-29 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,78868,5460696
2018-08-28 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,54719,5221494
2018-08-27 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,91626,5466053
2018-08-26 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,88733,5443556
2018-08-25 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,114308,5291682
2018-08-24 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,90073,5319063
2018-08-23 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,59636,5374097
2018-08-22 00:00:00 +0000 UTC,0.6,0.7,0.5,0.6,317216,5327571
2018-08-21 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,124139,4993353
2018-08-20 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,131680,5152787
2018-08-19 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,94698,5144249
2018-08-18 00:00:00 +0000 UTC,0.6,0.6,0.5,0.6,95154,5344780
2018-08-17 00:00:00 +0000 UTC,0.5,0.6,0.5,0.6,123667,4927303
2018-08-16 00:00:00 +0000 UTC,0.6,0.6,0.5,0.5,97505,5174217
2018-08-15 00:00:00 +0000 UTC,0.6,0.7,0.5,0.6,108854,5980933
2018-08-14 00:00:00 +0000 UTC,0.6,0.7,0.5,0.6,124800,5796087
2018-08-13 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,112718,6014751
2018-08-12 00:00:00 +0000 UTC,0.6,0.7,0.6,0.6,153925,6004849
2018-08-11 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,161900,6179749
2018-08-10 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,135993,6630988
2018-08-09 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,151260,7018030
2018-08-08 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,170009,6639264
2018-08-07 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,178876,7309146
2018-08-06 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,162352,7316200
2018-08-05 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,171248,7520174
2018-08-04 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,214777,8453352
