Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1736510,10132005
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,675441,10973030
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1648640,10383302
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,947885,10173529
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1717330,10348878
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1756650,10505523
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2076400,10831239
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2645230,10312208
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2338440,10655711
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1309080,10876322
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3804830,13046685
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2229300,12813753
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4275110,14986620
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2348370,12382625
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,545308,11100724
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,604781,10167784
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,391986,10826949
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1061410,10637482
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,929269,9608696
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,903001,11518614
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,755180,12479718
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1402890,13495523
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2170400,16444504
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5116960,16788088
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2454130,17186426
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1908770,16919547
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2152620,18366094
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1421980,19521115
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2904210,22894802
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1942740,25487219
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3027250,27669282
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7907370,26276858
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6078050,24936194
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1274110,25683186
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1815690,26066990
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4405900,26003326
