Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,498970
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,455780
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,493621
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,507829
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14,548656
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,505032
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302,488618
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,504203
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,137,449455
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,386,486028
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,538824
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,627305
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,674672
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,497,525324
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,470626
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,451068
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,466089
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,123,499672
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,501562
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140,459540
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,385,379804
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,281237
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,298066
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,350526
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,447132
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,131,426290
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,387988
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,487990
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,541514
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1497,588710
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197,489658
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,493428
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,555911
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,97,604346
