Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,541,49640
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,50105
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,305,47088
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,256,50989
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,43170
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,231,47827
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,445,46510
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,46031
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,352,51261
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,51322
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,50369
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,169,52505
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,370,51390
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1267,55809
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,349,63020
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4149,55739
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,54005
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1322,55182
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,55361
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153,57380
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,115,58764
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,869,61970
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,185,63782
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,570,65568
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1281,71999
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,640,63681
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230,68304
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,778,77134
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5335,102416
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,371,96234
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1744,85422
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,535,133570
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2089,70513
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,132,66678
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,206,88197
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,377,64992
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1116,88087
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1463,77447
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1122,102328
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,307,94221
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,255,89288
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2876,75044
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,856,73743
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4406,88591
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2549,61246
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1290,57561
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1073,80066
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,895,53066
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,555,54661
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1034,49052
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,451,48447
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236,64349
