Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1540890,5002624
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1825810,5066029
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2149720,4940132
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1985210,4654942
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1699210,4919909
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1881680,4595510
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1696940,4317170
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1830580,4572921
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1789120,4822710
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2061700,4809084
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2154300,5690099
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2473450,5601887
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2319370,5987509
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3766260,5087672
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3339230,4935931
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2978150,4270482
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2488110,4271422
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2702730,5358260
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3577170,5449925
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4042590,5570672
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3646270,5879395
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4247720,5463052
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4581790,7491310
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5384360,6111011
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4090360,5855271
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4945230,5640878
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3757020,5854404
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4037070,6004145
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3599540,6671461
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3340860,6735146
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3532000,8076060
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3833660,8827201
2018-07-29 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,4144270,8543115
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3474280,8695018
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3780090,8334528
