Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38283,1504523
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17831,1544963
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43384,1487125
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,85136,1420418
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7787,1454606
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2103,1434286
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,48797,1478670
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,141819,1196597
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14565,1227366
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12955,1269216
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,41588,1283572
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8520,1261694
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44408,1382638
2018-08-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,23693,1136956
2018-08-16 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,69542,1127860
2018-08-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,11277,1108685
2018-08-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,26673,1106928
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,8971,1280420
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5399,1251304
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,40000,1389378
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,27064,1569663
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,65801,1551761
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25751,1842589
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,22269,1931488
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12247,1997680
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15053,1956034
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33949,2161642
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,37660,2271477
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,144690,2236353
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,46232,2268039
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,248463,2792903
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1049010,2645965
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,971596,2609212
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,196919,2424215
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,84967,2276345
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,107895,2421483
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,84605,2453884
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,257699,2265550
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29280,2128478
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10591,2174233
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8977,2128561
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33879,2242056
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,70595,2235535
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,76574,2198861
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,71343,2050205
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,52173,1970988
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24921,1884494
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14438,1973411
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,63192,2005634
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24855,2018928
