Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2733,233630
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3981,315389
2018-08-28 00:00:00 +0000 UTC,0.0,0.2,0.0,0.1,312780,152555
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148,150341
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,718,169986
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,152728
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,170418
2018-08-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,83,162863
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,229,196349
2018-08-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,852,181666
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,486,203083
2018-08-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,200,178278
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,412,182966
2018-08-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,118,176769
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,172202
2018-08-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,367,178546
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,297,192715
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,90,185825
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,56,194372
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47,210716
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,283,235706
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,302,192002
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,377,249204
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1065,268696
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1441,217707
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,159,234342
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1345,227555
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,284,273329
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2191,245901
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1965,272542
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1559,312428
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,399,309665
2018-07-29 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,4620,334657
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,927,320418
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2197,349815
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6996,351087
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2812,358645
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4435,304645
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1998,253732
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,664,279609
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5990,298579
2018-07-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31745,290021
2018-07-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1566,301141
2018-07-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,863,303645
2018-07-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4517,292638
2018-07-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,614,289632
2018-07-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2124,248223
2018-07-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,281,270012
2018-07-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,143,263449
2018-07-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1494,284937
2018-07-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,126,282126
2018-07-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1134,290814
2018-07-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1162,304818
2018-07-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2449,310855
2018-07-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,812,279925
2018-07-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,570,271073
2018-07-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1675,300435
2018-07-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,387,273762
2018-07-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,649,296054
2018-07-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2932,262612
2018-07-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,655,268658
2018-06-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1442,255616
2018-06-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1504,251205
2018-06-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3252,269945
2018-06-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,837,285915
2018-06-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1027,295557
2018-06-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3676,276930
2018-06-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1061,305922
2018-06-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5566,299310
2018-06-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3124,341197
2018-06-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4093,380690
2018-06-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2624,404230
2018-06-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2390,417314
2018-06-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7235,401731
2018-06-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3012,382421
2018-06-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4151,419169
2018-06-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10125,394147
2018-06-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6166,386555
2018-06-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19133,391228
2018-06-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,78417,414180
2018-06-11 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,16363,442101
2018-06-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,21846,576025
2018-06-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,74565,654449
2018-06-08 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,197217,634109
2018-06-07 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,177215,745727
2018-06-06 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,82428,727958
2018-06-05 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,49455,569351
2018-06-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3189,621661
2018-06-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3358,642203
2018-06-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6206,610990
2018-06-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,12209,681591
2018-05-31 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,33174,747779
2018-05-30 00:00:00 +0000 UTC,0.2,0.4,0.1,0.3,14473,475612
2018-05-29 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,1440,470582
2018-05-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2837,515394
2018-05-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1899,525992
2018-05-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,10352,565492
2018-05-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4067,609593
2018-05-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3781,578097
2018-05-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8952,690845
2018-05-22 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,5881,740880
2018-05-21 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,21742,760087
2018-05-20 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,16195,796050
2018-05-19 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,17212,926417
2018-05-18 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,49914,728752
2018-05-17 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,15887,792099
2018-05-16 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,45958,793825
2018-05-15 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,66506,1016565
2018-05-14 00:00:00 +0000 UTC,0.3,0.5,0.2,0.4,97260,973915
2018-05-13 00:00:00 +0000 UTC,0.4,0.5,0.3,0.3,99856,1168184
