Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,1.5,1.5,1.5,1.5,381484,94899112
2018-08-29 00:00:00 +0000 UTC,1.6,1.6,1.5,1.5,414328,96151594
2018-08-28 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,500167,96668760
2018-08-27 00:00:00 +0000 UTC,1.5,1.6,1.5,1.6,458079,95339535
2018-08-26 00:00:00 +0000 UTC,1.6,1.6,1.5,1.5,195951,96948726
2018-08-25 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,316287,96512225
2018-08-24 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,254088,95652165
2018-08-23 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,227691,95512324
2018-08-22 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,506242,97332885
2018-08-21 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,293142,95781994
2018-08-20 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,454849,99989745
2018-08-19 00:00:00 +0000 UTC,1.6,1.6,1.6,1.6,401429,97580549
2018-08-18 00:00:00 +0000 UTC,1.7,1.7,1.6,1.6,633467,103305558
2018-08-17 00:00:00 +0000 UTC,1.6,1.7,1.6,1.7,919116,95915286
2018-08-16 00:00:00 +0000 UTC,1.6,1.6,1.5,1.6,566166,96764200
2018-08-15 00:00:00 +0000 UTC,1.6,1.7,1.5,1.6,940459,97085419
2018-08-14 00:00:00 +0000 UTC,1.7,1.7,1.5,1.6,1143480,104581865
2018-08-13 00:00:00 +0000 UTC,1.7,1.8,1.7,1.7,736121,107292307
2018-08-12 00:00:00 +0000 UTC,1.7,1.8,1.7,1.8,581366,105732214
2018-08-11 00:00:00 +0000 UTC,1.8,1.8,1.6,1.7,1206290,107360081
2018-08-10 00:00:00 +0000 UTC,1.9,2.0,1.7,1.7,1275500,120028036
2018-08-09 00:00:00 +0000 UTC,1.5,2.1,1.5,2.0,4996910,91171723
2018-08-08 00:00:00 +0000 UTC,1.8,1.8,1.4,1.5,958641,108590098
2018-08-07 00:00:00 +0000 UTC,1.8,1.9,1.8,1.8,450200,112364047
2018-08-06 00:00:00 +0000 UTC,1.9,2.0,1.8,1.8,737945,114888177
2018-08-05 00:00:00 +0000 UTC,1.9,1.9,1.8,1.9,560535,114455282
2018-08-04 00:00:00 +0000 UTC,1.9,2.0,1.9,1.9,395082,119209669
2018-08-03 00:00:00 +0000 UTC,2.0,2.0,1.9,1.9,480199,120479658
2018-08-02 00:00:00 +0000 UTC,2.0,2.0,1.9,2.0,374790,123178360
2018-08-01 00:00:00 +0000 UTC,2.0,2.0,2.0,2.0,610638,123498118
2018-07-31 00:00:00 +0000 UTC,2.1,2.2,2.0,2.0,762435,130286971
2018-07-30 00:00:00 +0000 UTC,2.1,2.1,2.1,2.1,424531,130235963
2018-07-29 00:00:00 +0000 UTC,2.1,2.2,2.1,2.1,359394,129512704
2018-07-28 00:00:00 +0000 UTC,2.2,2.2,2.1,2.1,320833,133673696
2018-07-27 00:00:00 +0000 UTC,2.2,2.2,2.1,2.2,563529,135548384
2018-07-26 00:00:00 +0000 UTC,2.2,2.2,2.2,2.2,472690,133732664
2018-07-25 00:00:00 +0000 UTC,2.2,2.3,2.2,2.2,583234,134865184
2018-07-24 00:00:00 +0000 UTC,2.2,2.2,2.2,2.2,831385,133756552
2018-07-23 00:00:00 +0000 UTC,2.2,2.2,2.2,2.2,602132,133139664
2018-07-22 00:00:00 +0000 UTC,2.2,2.2,2.2,2.2,345791,133886184
2018-07-21 00:00:00 +0000 UTC,2.2,2.2,2.2,2.2,454403,134894384
2018-07-20 00:00:00 +0000 UTC,2.3,2.3,2.2,2.2,683461,142301520
2018-07-19 00:00:00 +0000 UTC,2.3,2.4,2.3,2.3,472746,141051008
2018-07-18 00:00:00 +0000 UTC,2.3,2.4,2.3,2.3,1247520,139051328
2018-07-17 00:00:00 +0000 UTC,2.2,2.4,2.2,2.3,1286030,136948816
2018-07-16 00:00:00 +0000 UTC,2.2,2.2,2.1,2.2,718847,132084472
2018-07-15 00:00:00 +0000 UTC,2.1,2.2,2.1,2.2,574515,129245072
2018-07-14 00:00:00 +0000 UTC,2.1,2.1,2.0,2.1,376887,125280680
2018-07-13 00:00:00 +0000 UTC,2.0,2.1,2.0,2.1,493556,124314440
2018-07-12 00:00:00 +0000 UTC,2.1,2.1,2.0,2.0,411362,128346984
2018-07-11 00:00:00 +0000 UTC,2.1,2.2,2.1,2.1,465267,127349176
2018-07-10 00:00:00 +0000 UTC,2.3,2.3,2.1,2.1,587424,137559680
2018-07-09 00:00:00 +0000 UTC,2.3,2.3,2.2,2.2,569867,140666720
2018-07-08 00:00:00 +0000 UTC,2.4,2.4,2.3,2.3,478121,142523088
2018-07-07 00:00:00 +0000 UTC,2.4,2.4,2.3,2.4,398110,143282560
2018-07-06 00:00:00 +0000 UTC,2.4,2.4,2.2,2.4,767809,144525360
2018-07-05 00:00:00 +0000 UTC,2.4,2.5,2.3,2.4,609616,147021632
2018-07-04 00:00:00 +0000 UTC,2.4,2.5,2.3,2.4,1377110,147008512
2018-07-03 00:00:00 +0000 UTC,2.3,2.6,2.3,2.4,2246170,137731520
2018-07-02 00:00:00 +0000 UTC,2.1,2.4,2.1,2.3,837919,128432736
2018-07-01 00:00:00 +0000 UTC,2.1,2.1,2.0,2.1,357536,127568224
2018-06-30 00:00:00 +0000 UTC,2.0,2.2,2.0,2.1,919474,123957448
2018-06-29 00:00:00 +0000 UTC,2.0,2.1,1.9,2.1,631455,121178904
2018-06-28 00:00:00 +0000 UTC,2.1,2.1,2.0,2.0,510816,124767136
2018-06-27 00:00:00 +0000 UTC,2.1,2.2,2.1,2.1,586923,129847624
2018-06-26 00:00:00 +0000 UTC,2.2,2.3,2.1,2.2,644321,130821864
2018-06-25 00:00:00 +0000 UTC,2.1,2.3,2.1,2.2,773740,127309832
2018-06-24 00:00:00 +0000 UTC,2.3,2.3,2.0,2.1,1222690,137208384
2018-06-23 00:00:00 +0000 UTC,2.4,2.4,2.3,2.3,561636,145328432
2018-06-22 00:00:00 +0000 UTC,2.6,2.6,2.3,2.4,1057080,158977888
2018-06-21 00:00:00 +0000 UTC,2.7,2.7,2.6,2.6,508689,161316672
2018-06-20 00:00:00 +0000 UTC,2.7,2.7,2.6,2.7,464838,162707776
2018-06-19 00:00:00 +0000 UTC,2.6,2.7,2.6,2.6,611584,159305856
2018-06-18 00:00:00 +0000 UTC,2.7,2.7,2.6,2.6,776349,160010976
2018-06-17 00:00:00 +0000 UTC,2.7,2.7,2.6,2.7,465498,162718960
2018-06-16 00:00:00 +0000 UTC,2.7,2.7,2.6,2.7,519756,159935504
2018-06-15 00:00:00 +0000 UTC,2.8,2.8,2.6,2.7,662283,167491344
2018-06-14 00:00:00 +0000 UTC,2.7,2.8,2.6,2.8,908252,159735856
2018-06-13 00:00:00 +0000 UTC,2.9,2.9,2.6,2.6,1179740,175034224
2018-06-12 00:00:00 +0000 UTC,3.0,3.1,2.8,2.9,732015,178832496
