Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,2.3,2.3,2.1,2.2,360028,30615140
2018-08-29 00:00:00 +0000 UTC,2.4,2.5,2.2,2.3,549392,32032956
2018-08-28 00:00:00 +0000 UTC,2.1,2.5,2.1,2.4,827217,28345077
2018-08-27 00:00:00 +0000 UTC,1.9,2.1,1.9,2.1,464275,26104847
2018-08-26 00:00:00 +0000 UTC,2.0,2.0,1.8,1.9,375286,26585063
2018-08-25 00:00:00 +0000 UTC,2.0,2.0,1.9,2.0,163045,26519951
2018-08-24 00:00:00 +0000 UTC,1.9,2.0,1.9,2.0,271157,25947292
2018-08-23 00:00:00 +0000 UTC,1.8,1.9,1.8,1.9,98178,24324291
2018-08-22 00:00:00 +0000 UTC,1.9,2.0,1.8,1.8,172535,25000750
2018-08-21 00:00:00 +0000 UTC,1.8,1.9,1.8,1.9,234631,24068909
2018-08-20 00:00:00 +0000 UTC,1.9,2.0,1.8,1.8,237125,25954390
2018-08-19 00:00:00 +0000 UTC,1.9,2.0,1.9,1.9,171485,25346371
2018-08-18 00:00:00 +0000 UTC,2.2,2.3,1.8,1.9,420027,29961780
2018-08-17 00:00:00 +0000 UTC,1.7,2.3,1.7,2.3,543029,22663707
2018-08-16 00:00:00 +0000 UTC,1.7,1.8,1.7,1.7,253555,22713531
2018-08-15 00:00:00 +0000 UTC,1.6,1.8,1.6,1.7,368659,21663978
2018-08-14 00:00:00 +0000 UTC,1.7,1.7,1.3,1.6,423637,22237389
2018-08-13 00:00:00 +0000 UTC,2.0,2.0,1.6,1.7,211638,26527065
2018-08-12 00:00:00 +0000 UTC,2.0,2.1,1.9,2.0,208139,26539021
2018-08-11 00:00:00 +0000 UTC,2.0,2.1,1.8,2.0,281209,27092550
2018-08-10 00:00:00 +0000 UTC,2.3,2.3,2.0,2.0,166552,30623073
2018-08-09 00:00:00 +0000 UTC,2.1,2.4,2.1,2.3,184725,28650927
2018-08-08 00:00:00 +0000 UTC,2.4,2.4,2.0,2.1,274789,31886867
2018-08-07 00:00:00 +0000 UTC,2.5,2.6,2.4,2.4,317838,34009575
2018-08-06 00:00:00 +0000 UTC,2.6,2.7,2.5,2.5,196506,34275126
2018-08-05 00:00:00 +0000 UTC,2.5,2.6,2.5,2.6,131771,33864959
2018-08-04 00:00:00 +0000 UTC,2.7,2.8,2.4,2.5,215381,35932634
2018-08-03 00:00:00 +0000 UTC,2.7,3.5,2.6,2.7,2790360,36064817
2018-08-02 00:00:00 +0000 UTC,3.6,3.8,2.3,2.7,3474530,48236012
2018-08-01 00:00:00 +0000 UTC,3.7,3.7,3.1,3.6,3728230,49849786
2018-07-31 00:00:00 +0000 UTC,3.5,3.7,3.5,3.7,4395770,47375815
2018-07-30 00:00:00 +0000 UTC,3.7,3.8,3.5,3.5,364587,49486271
2018-07-29 00:00:00 +0000 UTC,3.7,3.9,3.6,3.7,4088560,49479552
2018-07-28 00:00:00 +0000 UTC,3.7,4.7,3.6,3.7,4413230,49643616
2018-07-27 00:00:00 +0000 UTC,3.9,4.7,3.6,3.7,5110450,51887196
2018-07-26 00:00:00 +0000 UTC,3.7,4.7,3.4,3.9,4099530,49299276
2018-07-25 00:00:00 +0000 UTC,3.5,3.9,3.5,3.7,5858100,46295584
2018-07-24 00:00:00 +0000 UTC,3.6,4.7,3.5,3.5,476059,48152944
2018-07-23 00:00:00 +0000 UTC,3.8,3.8,3.6,3.6,3625760,50953368
2018-07-22 00:00:00 +0000 UTC,3.9,4.0,3.8,3.8,5398180,51420892
2018-07-21 00:00:00 +0000 UTC,3.8,3.9,3.7,3.9,1169760,50783916
2018-07-20 00:00:00 +0000 UTC,4.5,4.5,3.8,3.8,6094840,59503316
2018-07-19 00:00:00 +0000 UTC,4.3,5.2,4.3,4.5,4125820,57984944
2018-07-18 00:00:00 +0000 UTC,4.5,4.9,4.2,4.3,4979010,60421012
2018-07-17 00:00:00 +0000 UTC,4.0,4.6,3.9,4.5,5843330,52676476
2018-07-16 00:00:00 +0000 UTC,3.7,4.2,3.6,4.0,3025040,48827316
