Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,48133
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,48110
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,38156
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,42208
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,45472
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,44404
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,50982
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,62365
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,49731
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,54935
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,54242
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,55822
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,53522
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,56659
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,57403
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,56526
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,64149
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,56320
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,51950
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,58779
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,52894
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151,64132
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,351,62239
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,63169
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,226,78514
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,83070
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,88374
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,216,93449
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,455,77809
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,86690
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,433,104992
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,100575
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,99993
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138,97278
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,99992
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,385,101130
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,94241
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212,98197
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,90104
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,89266
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,90940
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,89728
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,89150
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,78221
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,819,77467
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,76185
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47,82634
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,534,72189
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,73890
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,73071
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,77040
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93,77317
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,74198
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,75663
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,64376
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,54071
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,402,71143
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,71967
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,520,69396
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,55752
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140,80169
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,57625
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,63576
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,90,59594
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,238,81598
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,83597
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,173,70319
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71,59023
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187,76399
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,76818
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80,80517
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,80146
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,405,80470
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,91556
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,79677
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,829,89260
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,81502
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,81364
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,74,81426
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,342,105580
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,333,104840
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,106529
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,561,107296
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,102713
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,150,114447
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,112520
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,516,111361
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,110213
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,120470
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,831,95971
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,220,98427
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,99431
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,119,90904
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,93778
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,427,97473
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,115012
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,99392
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,99686
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,529,114364
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,282,106790
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1602,146454
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,984,102990
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100,124348
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,514,121920
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,338,126000
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,395,136913
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,596,162523
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,135683
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1276,149836
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,438,144179
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,246,145815
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,150266
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,315,162775
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1044,165747
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230,189287
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2056,229169
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,296,210930
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,930,252533
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253,248396
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1436,240028
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,446,229826
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1907,257509
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4083,217336
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3089,230377
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3194,350743
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7342,374867
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10594,410186
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20847,191018
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34624,174516
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5247,90995
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,332,99126
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,96915
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125,83209
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,202,84499
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,86140
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,89306
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,81547
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,486,84187
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,84678
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,785,81338
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118,69474
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,512,72119
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,214,74943
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,69567
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,707,70052
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,338,68278
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,153,68433
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,70990
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,71027
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112,65331
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32,73315
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,65446
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,67807
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,72014
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180,70613
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195,73993
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,76330
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,76695
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,165,80382
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,184,82844
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,193,84403
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,437,88933
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,90432
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,461,72499
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39,69810
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,174,77565
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263,89370
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,411,84755
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,343,85487
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,38,75982
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,734,87936
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67,106382
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142,85313
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,970,121676
2018-03-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2322,115107
2018-03-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1190,140340
2018-03-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239,210446
2018-03-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,983,143894
