Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,86506,2074242
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,94166,2124147
2018-08-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,118900,2056541
2018-08-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,73565,2013214
2018-08-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,80385,2038888
2018-08-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,81031,2034787
2018-08-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,81446,2049668
2018-08-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,82693,1993051
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,80241,2034086
2018-08-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,130671,2023685
2018-08-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,70223,2194346
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,90080,2273170
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,103149,2434074
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,110278,2216713
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,95816,2199244
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,76549,2127098
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,85356,2258771
2018-08-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,99819,2492161
2018-08-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,129608,2471935
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,94997,2549516
2018-08-10 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,103388,2789435
2018-08-09 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,93918,2759018
2018-08-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,101371,2876141
2018-08-07 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,95484,3057213
2018-08-06 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,97200,3144487
2018-08-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,83867,3137247
2018-08-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,67266,3282663
2018-08-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,99570,3318740
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,119694,3425482
2018-08-01 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,129048,3666759
2018-07-31 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,175878,3880950
2018-07-30 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,82068,3930980
2018-07-29 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,149843,3713840
2018-07-28 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,57120,3691391
2018-07-27 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,110618,3686949
2018-07-26 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,163765,3746348
2018-07-25 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,143541,3893726
2018-07-24 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,180653,3898157
