Date,Open,High,Low,Close,Volume,MarketCap
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,205866,11124312
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,414294,12329710
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,465770,12711848
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1586870,10638165
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,306431,11698369
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,240335,11064303
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,495447,8902644
2018-08-23 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,401465,8118065
2018-08-22 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,504202,7689811
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,417480,7058374
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,217374,13435719
2018-08-19 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,276010,7124226
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,455868,8244463
2018-08-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,693429,6971659
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454657,7040447
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,206600,7233878
2018-08-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,158322,7577217
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,692102,9477056
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,551765,9650968
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,137187,10488686
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,402100,12433200
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,179941,11714314
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,431136,14692693
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,276800,16070695
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,209456,16088522
