Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,21235.0,25558.3,21233.6,21679.3,1268,910530
2018-11-04 00:00:00 +0000 UTC,18384.9,21239.2,18094.6,21235.0,126,891868
2018-11-03 00:00:00 +0000 UTC,20320.9,20569.1,18364.1,18384.9,115,772165
2018-11-02 00:00:00 +0000 UTC,20023.7,20350.4,19170.9,20320.9,615,840995
2018-11-01 00:00:00 +0000 UTC,19513.4,21302.9,19380.9,20023.7,50,840995
2018-10-31 00:00:00 +0000 UTC,20014.9,20425.1,18835.5,19513.4,27,819563
2018-10-30 00:00:00 +0000 UTC,20810.4,22566.1,19740.2,19952.6,353,838009
2018-10-29 00:00:00 +0000 UTC,22398.2,22979.7,20676.3,20807.6,564,873919
2018-10-28 00:00:00 +0000 UTC,21213.9,23101.7,21207.6,22511.7,395,945491
2018-10-27 00:00:00 +0000 UTC,20971.6,21218.4,20921.2,21080.3,47,885373
2018-10-26 00:00:00 +0000 UTC,21460.3,21584.9,20938.7,21052.9,327,884222
2018-10-25 00:00:00 +0000 UTC,21279.2,21622.9,17804.5,21495.3,184,902803
2018-10-24 00:00:00 +0000 UTC,17352.2,22970.1,17352.2,21269.6,1016,893323
2018-10-23 00:00:00 +0000 UTC,18611.0,23512.8,17431.2,17431.2,500,732110
2018-10-22 00:00:00 +0000 UTC,25819.3,25848.3,17405.3,18612.7,675,781733
2018-10-21 00:00:00 +0000 UTC,20547.1,26836.7,20396.6,25832.3,1500,1084957
2018-10-20 00:00:00 +0000 UTC,20390.8,20918.3,20367.2,20542.4,42,862781
2018-10-19 00:00:00 +0000 UTC,21460.3,21509.8,20379.9,20389.3,41,856351
2018-10-18 00:00:00 +0000 UTC,22756.7,22839.8,21319.2,21463.6,48,901471
2018-10-17 00:00:00 +0000 UTC,22128.4,23246.2,21392.1,22667.7,395,952043
2018-10-16 00:00:00 +0000 UTC,21579.1,35941.8,21499.3,22052.4,848,926201
2018-10-15 00:00:00 +0000 UTC,23592.9,25493.8,21398.0,21598.8,155,907150
2018-10-14 00:00:00 +0000 UTC,23367.6,23781.8,21894.8,23566.7,83,989801
2018-10-13 00:00:00 +0000 UTC,21336.7,23485.9,21284.0,23361.7,5,981191
2018-10-12 00:00:00 +0000 UTC,21215.3,21576.6,21125.9,21336.1,145,896116
2018-10-11 00:00:00 +0000 UTC,26284.0,26309.6,21117.9,21242.7,96,892193
2018-10-10 00:00:00 +0000 UTC,22482.8,26385.6,22085.8,26372.9,2,1107662
2018-10-09 00:00:00 +0000 UTC,22513.8,26568.9,21743.2,22559.5,1252,947499
2018-10-08 00:00:00 +0000 UTC,23681.1,23721.8,22435.6,22435.6,521,942295
2018-10-07 00:00:00 +0000 UTC,21683.5,25209.0,21551.7,23572.5,469,990045
2018-10-06 00:00:00 +0000 UTC,22823.2,24546.4,21485.3,21603.4,98,907343
2018-10-05 00:00:00 +0000 UTC,25192.6,25284.9,21306.7,22772.1,111,956428
2018-10-04 00:00:00 +0000 UTC,50034.5,58590.0,23970.9,25127.0,973,1055334
2018-10-03 00:00:00 +0000 UTC,20193.7,50557.3,19489.5,49975.5,1380,2098971
2018-10-02 00:00:00 +0000 UTC,19723.3,20307.9,18275.2,20183.6,927,847711
2018-10-01 00:00:00 +0000 UTC,20556.9,22423.3,19693.2,19779.3,201,830731
2018-09-30 00:00:00 +0000 UTC,21975.4,21975.4,20294.7,20618.5,33,865977
