Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1098,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,612,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1411,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3138,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1870,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1142,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,766,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,450,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,711,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1079,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1180,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,997,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1568,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4024,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3588,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1430,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1927,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3270,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7580,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1949,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,432,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1459,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1550,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,880,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2374,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2072,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1900,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1942,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,875,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1908,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1970,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2820,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2083,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1094,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,734,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,985,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2001,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2534,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3673,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2718,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2542,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1067,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2349,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2979,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1038,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1285,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1132,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1708,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1146,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1011,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1239,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5867,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4879,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10040,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,230,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,268,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1477,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1345,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1089,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2086,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,658,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2406,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,853,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,515,0
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1770,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2175,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4480,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3047,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1326,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,706,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1588,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,653,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,369,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,650,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,705,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,616,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,513,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,352,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1769,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,494,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16137,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5003,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,680,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3991,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1137,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,718,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,307,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,523,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2339,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,261,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,480,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,665,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,346,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4363,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,476,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,256,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,276,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,610,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2215,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,370,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1456,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2443,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11035,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4599,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5177,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4134,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1866,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6608,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3040,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3185,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2048,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4112,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3242,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2743,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1199,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1481,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4669,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2584,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1234,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7051,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4224,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2921,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5686,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4313,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3586,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7226,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1688,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4198,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3435,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2086,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,726,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1943,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5660,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2261,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2035,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4551,0
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2734,0
2018-06-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3262,0
2018-06-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7772,0
2018-06-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9032,0
2018-06-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3203,0
2018-06-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3253,0
2018-06-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3585,0
2018-06-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2535,0
2018-06-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1559,0
2018-06-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3329,0
2018-06-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3617,0
2018-06-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4201,0
2018-06-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8431,0
2018-06-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2779,0
2018-06-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4120,0
2018-06-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2272,0
2018-06-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2894,0
2018-06-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2806,0
2018-06-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6791,0
2018-06-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3714,0
2018-06-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2120,0
2018-06-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7656,0
2018-05-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1219,0
2018-05-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4949,0
2018-05-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10778,0
2018-05-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2285,0
2018-05-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12386,0
2018-05-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2256,0
2018-05-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3463,0
2018-05-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4132,0
2018-05-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4959,0
2018-05-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5162,0
2018-05-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10755,0
2018-05-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6090,0
2018-05-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2969,0
2018-05-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2399,0
2018-05-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4175,0
2018-05-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6223,0
2018-05-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5835,0
2018-05-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2684,0
2018-05-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3740,0
2018-05-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4432,0
2018-05-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4652,0
2018-05-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4691,0
2018-05-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5693,0
2018-05-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3568,0
2018-05-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,737,0
2018-05-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15426,0
2018-05-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15274,0
2018-05-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3886,0
2018-05-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3206,0
2018-05-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3756,0
2018-05-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5351,0
2018-04-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5367,0
2018-04-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1912,0
2018-04-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1418,0
2018-04-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2612,0
2018-04-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3944,0
2018-04-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3834,0
2018-04-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22461,0
2018-04-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1709,0
2018-04-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1517,0
2018-04-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5241,0
2018-04-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3273,0
2018-04-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3783,0
2018-04-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2745,0
2018-04-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12314,0
2018-04-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8180,0
2018-04-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2423,0
2018-04-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10020,0
2018-04-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3731,0
2018-04-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10081,0
2018-04-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1149,0
2018-04-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2999,0
2018-04-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2901,0
2018-04-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11777,0
2018-04-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3744,0
2018-04-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3572,0
2018-04-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4107,0
2018-04-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4124,0
2018-04-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1837,0
2018-04-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1079,0
2018-04-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,407,0
2018-03-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1451,0
2018-03-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,946,0
2018-03-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8586,0
2018-03-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1382,0
2018-03-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1696,0
2018-03-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8872,0
2018-03-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1719,0
2018-03-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3603,0
2018-03-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5250,0
2018-03-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1089,0
2018-03-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1766,0
2018-03-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1081,0
2018-03-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,711,0
2018-03-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1087,0
2018-03-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,431,0
2018-03-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1745,0
2018-03-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24422,0
2018-03-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3137,0
2018-03-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3136,0
2018-03-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1240,0
2018-03-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2355,0
2018-03-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,536,0
2018-03-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2271,0
