Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,48803
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,48803
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,362,48803
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,36603
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,36603
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,36603
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,36603
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,36603
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,36603
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,36603
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,36603
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,36603
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,36603
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,36603
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,36603
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,36603
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40,36603
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,24402
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,36603
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,24402
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,24402
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,36603
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,102,24402
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,24402
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,24402
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,192,36603
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212,36603
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,500,48803
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,48803
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,61004
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,48803
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,139,48803
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,196,48803
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,48803
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,48803
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,48803
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,48803
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,48803
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,32,48803
2018-09-27 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,4,61004
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,48803
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,61004
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,61004
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,78,61004
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,61004
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,61004
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,61004
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,61004
2018-09-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7,61004
2018-09-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,7,61004
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,61004
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,61004
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,61004
2018-09-09 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,52,61004
2018-09-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,4,61004
2018-09-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,4,61004
2018-09-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,15,61004
2018-09-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,0,61004
2018-09-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,33,73205
2018-09-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,99,61004
2018-09-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43,73205
2018-09-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21,73205
2018-08-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,19,61004
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,51,61004
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47,61004
2018-08-28 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,248,73205
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,48803
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36,48803
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,48803
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43,48803
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,215,48803
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,247,48803
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,48803
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,48803
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,144,61004
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,18,61004
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,61004
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,208,61004
2018-08-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,163,61004
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,1054,61004
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,239,85406
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,47,85406
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74,85406
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12,85406
2018-08-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11,85406
2018-08-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3,85406
2018-08-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8,97607
2018-08-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,85406
2018-08-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4,85406
2018-08-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,253,85406
2018-08-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17,97607
2018-08-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,79,97607
2018-07-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,44,109808
2018-07-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,302,97607
2018-07-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38,122008
2018-07-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,89,122008
2018-07-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,86,122008
2018-07-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,13,109808
2018-07-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,17,122008
2018-07-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,68,122008
2018-07-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,115,109808
2018-07-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1,122008
2018-07-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,120,122008
