Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,373486,16154754
2018-11-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,686383,16889061
2018-11-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,445194,16889061
2018-11-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,623441,16889061
2018-11-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,652773,16889061
2018-10-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,645433,16154754
2018-10-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1208220,16889061
2018-10-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,694828,15420447
2018-10-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,409523,16889061
2018-10-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,512067,16889061
2018-10-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,509600,16889061
2018-10-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,767933,16889061
2018-10-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1290240,16889061
2018-10-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1465760,16889061
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1476310,17623368
2018-10-21 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,2971610,18357675
2018-10-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,12031200,19091982
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1589700,17623368
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,657108,15420447
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,843678,16154754
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2353390,16154754
2018-10-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,818822,14686140
2018-10-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,588492,14686140
2018-10-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1046880,15420447
2018-10-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1069950,13951833
2018-10-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4923160,13951833
2018-10-10 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,12957800,16889061
2018-10-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,706372,15420447
2018-10-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,958588,15420447
2018-10-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1056150,15420447
2018-10-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,690044,14686140
2018-10-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1362740,15420447
2018-10-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,958755,14686140
2018-10-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,677323,13951833
2018-10-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,678737,14686140
2018-10-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,575826,14686140
2018-09-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1653830,14686140
2018-09-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,936876,15420447
2018-09-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,943538,14686140
2018-09-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1579910,14686140
2018-09-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1599040,13951833
2018-09-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5857940,14686140
2018-09-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,704486,13951833
2018-09-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1186620,14686140
