Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,813,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1510,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,62,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,793,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1366,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,157,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,412,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1607,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,465,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,766,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,271,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,953,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1667,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1230,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,654,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2218,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,310,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1068,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,561,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12479,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,504,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10681,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1526,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,288,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,264,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,544,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2287,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1236,0
