Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,49,99772
2018-11-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43,119635
2018-11-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6,119543
2018-11-02 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,17,99480
2018-11-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,74,99470
2018-10-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,24,99395
2018-10-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,257,119184
2018-10-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,72,99245
2018-10-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,85,99170
2018-10-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,38,99095
2018-10-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,146,99020
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,14,98944
2018-10-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,25,118642
2018-10-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,288,118553
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31,118464
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,43,118375
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,325,118284
2018-10-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,480,118193
2018-10-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,285,98418
2018-10-17 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,336,98343
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,98269
2018-10-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,2,98174
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,78496
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,78436
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55,78376
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,78316
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,78257
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,78198
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56,78138
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,78079
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,78019
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,373,77960
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,45,97375
2018-10-03 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,791,97301
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,97227
2018-10-01 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,108,97152
2018-09-30 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,57,97049
2018-09-29 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,89,97004
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11,96923
2018-09-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,29,96855
2018-09-26 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,30,116137
2018-09-25 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,684,96707
2018-09-24 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,150,96633
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,77247
2018-09-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,59,96481
2018-09-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,110,115687
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,77026
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,77005
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,76933
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,76886
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,76828
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,385,76769
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,95887
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,330,76651
