Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,220738,22661645
2018-11-04 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,216041,22952179
2018-11-03 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,224504,22952179
2018-11-02 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,196417,22661645
2018-11-01 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,207717,22661645
2018-10-31 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,242382,22952179
2018-10-30 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,270764,23242713
2018-10-29 00:00:00 +0000 UTC,0.8,0.9,0.7,0.8,819970,22952179
2018-10-28 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,422633,22371111
2018-10-27 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,188032,21209453
2018-10-26 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,212644,21209453
2018-10-25 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,259733,20926660
2018-10-24 00:00:00 +0000 UTC,0.7,0.8,0.7,0.7,285970,20643868
2018-10-23 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,236533,20078282
2018-10-22 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,137538,20078282
2018-10-21 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,164652,20078282
2018-10-20 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,228263,20078282
2018-10-19 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,147425,20643868
2018-10-18 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,157224,21209453
2018-10-17 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,139251,20643868
2018-10-16 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,138549,20643868
2018-10-15 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,246910,20926660
2018-10-14 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,145597,21492246
2018-10-13 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,128102,21775038
2018-10-12 00:00:00 +0000 UTC,0.7,0.8,0.7,0.8,136468,21492246
2018-10-11 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,168249,21209453
2018-10-10 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,170712,23189002
2018-10-09 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,184306,23471795
2018-10-08 00:00:00 +0000 UTC,0.8,1.2,0.8,0.8,170905,24037380
2018-10-07 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,126383,22623417
2018-10-06 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,141242,22906209
2018-10-05 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,134309,22906209
2018-10-04 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,147969,22340624
2018-10-03 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,162495,22057831
2018-10-02 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,149867,23174704
2018-10-01 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,148357,24305178
2018-09-30 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,149564,25153033
2018-09-29 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,180800,25153033
2018-09-28 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,235254,25718269
2018-09-27 00:00:00 +0000 UTC,0.9,1.2,0.9,1.0,879655,27413979
2018-09-26 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,87816,24587796
2018-09-25 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,119863,24870414
2018-09-24 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,126709,26566124
2018-09-23 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,120209,26566124
2018-09-22 00:00:00 +0000 UTC,0.9,1.0,0.8,0.9,318036,26283506
2018-09-21 00:00:00 +0000 UTC,0.8,0.9,0.8,0.9,104354,24305178
2018-09-20 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,86776,22892086
2018-09-19 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,68359,22044231
2018-09-18 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,90040,22044231
