Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,185548
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,185548
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,185548
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,185548
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,185548
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,185548
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,234,185548
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,106,185548
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,185548
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,923,185548
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,156,185548
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,185548
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15,185548
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,185548
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1149,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,549,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,464,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23,184994
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21,184794
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,96,184622
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130,184445
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,184142
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,278,183591
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1193,182920
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26,182882
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37,182586
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126,182352
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,379,181991
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11,181805
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,147,181609
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,181432
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,181247
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,434,181048
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30,180881
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81,180701
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,72,180515
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,180337
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7,180163
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,179991
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,179788
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143,179595
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,179374
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69,179186
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198,178948
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,178737
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,178543
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,178360
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,990,178164
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,177992
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,177817
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,177632
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,263,177441
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186,177118
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,19,176909
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,176733
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31,176527
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,157,176353
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1,176164
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68,175977
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34,175783
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10,175552
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,63,175368
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2,175181
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48,175012
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116,174722
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,174539
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,174363
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86,174186
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,174014
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,128,173824
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,173639
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,166,173441
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,454,173238
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99,173075
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,172896
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,66,172716
