Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,14.8,14.9,14.5,14.6,1233270,160050000
2018-11-04 00:00:00 +0000 UTC,15.3,15.3,14.6,14.8,1714570,163130000
2018-11-03 00:00:00 +0000 UTC,14.4,15.5,14.4,15.3,1931450,168630000
2018-11-02 00:00:00 +0000 UTC,14.2,15.0,14.1,14.4,2216450,155320000
2018-11-01 00:00:00 +0000 UTC,14.2,14.7,14.1,14.2,1487140,156420000
2018-10-31 00:00:00 +0000 UTC,14.4,14.5,13.9,14.2,1162040,156420000
2018-10-30 00:00:00 +0000 UTC,14.2,14.4,14.1,14.4,1632220,158620000
2018-10-29 00:00:00 +0000 UTC,14.8,14.9,14.0,14.2,2647500,156530000
2018-10-28 00:00:00 +0000 UTC,14.1,14.9,14.0,14.8,3045010,162800000
2018-10-27 00:00:00 +0000 UTC,13.7,14.8,13.4,14.0,2917950,153670000
2018-10-26 00:00:00 +0000 UTC,13.7,13.7,13.4,13.7,1795060,150260000
2018-10-25 00:00:00 +0000 UTC,14.1,14.2,13.6,13.7,2651940,150590000
2018-10-24 00:00:00 +0000 UTC,13.5,15.7,13.5,14.2,11003700,156310000
2018-10-23 00:00:00 +0000 UTC,13.2,13.6,13.1,13.6,1285580,149160000
2018-10-22 00:00:00 +0000 UTC,13.1,13.2,13.0,13.2,1379620,144870000
2018-10-21 00:00:00 +0000 UTC,12.6,13.4,12.6,13.1,1914960,144210000
2018-10-20 00:00:00 +0000 UTC,12.4,12.6,12.3,12.6,1136850,138490000
2018-10-19 00:00:00 +0000 UTC,12.5,12.6,12.3,12.3,1720060,135850000
2018-10-18 00:00:00 +0000 UTC,12.7,12.8,12.4,12.5,1688880,137610000
2018-10-17 00:00:00 +0000 UTC,12.7,12.7,12.4,12.6,2567780,138820000
2018-10-16 00:00:00 +0000 UTC,12.3,12.7,12.2,12.6,1219080,139040000
2018-10-15 00:00:00 +0000 UTC,12.1,13.1,11.9,12.3,1994620,135190000
2018-10-14 00:00:00 +0000 UTC,12.4,12.5,12.1,12.1,1343420,132550000
2018-10-13 00:00:00 +0000 UTC,11.8,13.3,11.8,12.5,3820300,137060000
2018-10-12 00:00:00 +0000 UTC,11.6,12.1,11.2,11.8,2121750,129690000
2018-10-11 00:00:00 +0000 UTC,13.3,13.3,11.7,11.7,2316060,128810000
2018-10-10 00:00:00 +0000 UTC,13.1,13.5,12.9,13.3,2505790,146190000
2018-10-09 00:00:00 +0000 UTC,13.2,13.2,12.8,13.2,1841010,144760000
2018-10-08 00:00:00 +0000 UTC,12.8,13.3,12.7,13.2,1561390,144760000
2018-10-07 00:00:00 +0000 UTC,12.7,12.8,12.5,12.8,1867270,140360000
2018-10-06 00:00:00 +0000 UTC,12.8,13.1,12.5,12.6,2753660,138710000
2018-10-05 00:00:00 +0000 UTC,12.9,13.1,12.5,12.7,2780060,140140000
2018-10-04 00:00:00 +0000 UTC,12.9,13.2,12.8,12.9,1522490,141900000
2018-10-03 00:00:00 +0000 UTC,13.2,13.2,12.7,12.9,1526180,141900000
2018-10-02 00:00:00 +0000 UTC,13.2,13.8,13.2,13.2,2414400,145640000
2018-10-01 00:00:00 +0000 UTC,13.4,13.8,13.2,13.3,2143750,145970000
2018-09-30 00:00:00 +0000 UTC,13.5,14.2,13.3,13.4,2737270,147620000
2018-09-29 00:00:00 +0000 UTC,13.2,14.1,12.9,13.5,2810850,148610000
2018-09-28 00:00:00 +0000 UTC,13.4,13.6,13.0,13.2,2324190,145310000
2018-09-27 00:00:00 +0000 UTC,12.8,13.6,12.8,13.4,2936250,147950000
