Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,33695000,310000000
2018-11-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,12543600,290000000
2018-11-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,34185000,290000000
2018-11-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,46682000,260000000
2018-11-01 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,8420500,250000000
2018-10-31 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,5479440,250000000
2018-10-30 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,10665500,250000000
2018-10-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6602700,230000000
2018-10-28 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,5485490,250000000
2018-10-27 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,8040620,240000000
2018-10-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,7179510,260000000
2018-10-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,10132000,270000000
2018-10-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,18615200,270000000
2018-10-23 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,21691900,250000000
2018-10-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,27279700,270000000
2018-10-21 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,18052500,260000000
2018-10-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,16163600,230000000
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,20938800,240000000
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7939570,210000000
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,26311900,210000000
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4007950,190000000
2018-10-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5314640,180000000
2018-10-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3858440,170000000
2018-10-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3711450,180000000
2018-10-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11341600,180000000
2018-10-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8890810,160000000
2018-10-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5397420,180000000
2018-10-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2740720,180000000
2018-10-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2678130,180000000
2018-10-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2542700,180000000
2018-10-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3027690,170000000
2018-10-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5578560,180000000
2018-10-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2957670,170000000
2018-10-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2113960,170000000
2018-10-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3019370,170000000
2018-10-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2416960,170000000
2018-09-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1763310,170000000
2018-09-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2049280,170000000
2018-09-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3452890,170000000
2018-09-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3360290,170000000
2018-09-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3206750,160000000
2018-09-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5401860,160000000
2018-09-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2792720,160000000
2018-09-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2298730,170000000
2018-09-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4532980,180000000
2018-09-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5374870,180000000
2018-09-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4286500,160000000
2018-09-19 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,1884250,150000000
2018-09-18 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,3221640,150000000
2018-09-17 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3843190,140000000
2018-09-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3174010,160000000
2018-09-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2846890,160000000
2018-09-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4123730,160000000
2018-09-13 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,4702990,170000000
2018-09-12 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,4552830,150000000
2018-09-11 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,3994940,150000000
2018-09-10 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,3404930,150000000
2018-09-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3509260,160000000
2018-09-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4532720,160000000
2018-09-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4042110,170000000
2018-09-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4713820,180000000
2018-09-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5709710,180000000
2018-09-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3362240,230000000
2018-09-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3231210,230000000
2018-09-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3265550,230000000
2018-09-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3547030,230000000
2018-08-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5472150,220000000
2018-08-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6442380,210000000
2018-08-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5778130,220000000
