Date,Open,High,Low,Close,Volume,MarketCap
2018-10-05 00:00:00 +0000 UTC,16.2,16.2,16.2,16.2,38783,20918233
2018-10-04 00:00:00 +0000 UTC,16.1,16.3,15.9,16.2,38831,20944010
2018-10-03 00:00:00 +0000 UTC,16.2,16.3,16.0,16.1,14153,20776458
2018-10-02 00:00:00 +0000 UTC,16.1,16.2,16.0,16.2,14555,20892456
2018-10-01 00:00:00 +0000 UTC,16.1,16.1,16.0,16.1,10538,20699127
2018-09-27 00:00:00 +0000 UTC,16.1,16.1,16.0,16.1,10895,20776458
2018-09-26 00:00:00 +0000 UTC,16.2,16.3,16.0,16.1,10889,20763570
2018-09-25 00:00:00 +0000 UTC,18.2,19.6,16.1,16.2,35178,20931122
2018-09-24 00:00:00 +0000 UTC,22.1,22.8,16.9,18.2,115041,23470180
2018-09-23 00:00:00 +0000 UTC,24.2,26.0,21.7,22.1,89560,28470966
2018-09-22 00:00:00 +0000 UTC,27.6,28.4,23.0,24.2,116478,31151799
2018-09-21 00:00:00 +0000 UTC,26.7,30.8,21.1,27.6,158509,35521042
2018-09-20 00:00:00 +0000 UTC,22.4,46.5,21.4,28.0,196426,36088141
2018-09-19 00:00:00 +0000 UTC,53.9,54.0,15.3,22.4,283625,28896290
2018-09-18 00:00:00 +0000 UTC,54.7,54.7,24.6,53.8,171067,69392340
2018-09-17 00:00:00 +0000 UTC,60.9,61.1,54.5,54.7,78218,70500761
2018-09-16 00:00:00 +0000 UTC,55.6,60.9,55.1,60.7,28477,78272600
2018-09-15 00:00:00 +0000 UTC,58.9,59.0,55.5,55.5,131644,71557628
2018-09-14 00:00:00 +0000 UTC,57.8,59.7,56.8,59.0,72755,76029980
2018-09-13 00:00:00 +0000 UTC,53.5,58.3,53.5,57.7,136230,74406014
2018-09-12 00:00:00 +0000 UTC,59.1,59.1,52.1,53.5,5183,68915461
2018-09-11 00:00:00 +0000 UTC,61.6,61.7,58.2,59.1,94038,76120200
2018-09-10 00:00:00 +0000 UTC,57.3,66.6,56.5,61.5,112768,79277913
2018-09-09 00:00:00 +0000 UTC,56.9,68.6,52.2,57.3,108628,73864692
2018-09-08 00:00:00 +0000 UTC,43.7,80.9,43.3,57.5,681866,74045132
2018-09-07 00:00:00 +0000 UTC,45.8,47.8,40.5,44.4,40203,57225481
2018-09-06 00:00:00 +0000 UTC,53.1,55.5,44.0,44.4,12874,57173926
2018-09-05 00:00:00 +0000 UTC,75.3,81.5,52.8,53.0,123532,68271030
2018-09-04 00:00:00 +0000 UTC,42.9,103.0,41.6,77.5,817489,99899708
2018-09-03 00:00:00 +0000 UTC,19.4,48.1,18.6,42.0,242810,54067768
2018-09-02 00:00:00 +0000 UTC,16.3,21.3,16.2,19.3,7839,24887929
2018-09-01 00:00:00 +0000 UTC,16.1,16.5,16.0,16.3,35412,20995565
2018-08-31 00:00:00 +0000 UTC,15.6,16.2,15.6,16.1,124225,20815124
2018-08-30 00:00:00 +0000 UTC,16.4,16.4,15.3,15.6,254519,20132027
2018-08-29 00:00:00 +0000 UTC,16.3,16.5,16.2,16.4,98757,21188894
2018-08-28 00:00:00 +0000 UTC,15.3,16.4,15.3,16.3,281738,21060008
2018-08-27 00:00:00 +0000 UTC,15.4,15.6,15.2,15.3,182648,19771146
2018-08-26 00:00:00 +0000 UTC,15.3,15.5,15.2,15.4,133488,19822700
2018-08-25 00:00:00 +0000 UTC,15.8,15.9,15.3,15.3,152,19758257
2018-08-24 00:00:00 +0000 UTC,14.7,15.8,14.4,15.8,146308,20312468
2018-08-23 00:00:00 +0000 UTC,15.0,15.2,14.5,14.7,64952,18984940
2018-08-22 00:00:00 +0000 UTC,15.9,16.5,14.5,15.0,118553,19371599
2018-08-21 00:00:00 +0000 UTC,15.0,15.9,14.8,15.9,206407,20467131
2018-08-20 00:00:00 +0000 UTC,15.5,15.6,14.7,15.0,21727,19294267
2018-08-19 00:00:00 +0000 UTC,15.3,15.6,15.2,15.5,84533,19964475
2018-08-18 00:00:00 +0000 UTC,15.4,15.4,14.9,15.3,132505,19732480
2018-08-17 00:00:00 +0000 UTC,14.3,16.0,14.3,15.3,161222,19784034
2018-08-16 00:00:00 +0000 UTC,14.5,16.7,13.9,14.2,2412,18353397
2018-08-15 00:00:00 +0000 UTC,15.0,15.7,14.5,14.5,200527,18727167
2018-08-14 00:00:00 +0000 UTC,15.5,16.3,14.6,15.0,18959,19332933
2018-08-13 00:00:00 +0000 UTC,15.3,17.2,14.9,15.6,85728,20041807
