Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.6,0.6,0.6,0.6,49282,10567818
2018-11-04 00:00:00 +0000 UTC,0.7,0.7,0.6,0.6,45158,10566662
2018-11-03 00:00:00 +0000 UTC,0.7,0.7,0.6,0.7,43189,10730623
2018-11-02 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,50252,11058587
2018-11-01 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,59222,11058447
2018-10-31 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,73832,11387275
2018-10-30 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,76405,11551083
2018-10-29 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,56436,11879859
2018-10-28 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,58780,11878554
2018-10-27 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,52637,11877211
2018-10-26 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,51660,11875924
2018-10-25 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,39350,11874688
2018-10-24 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,59276,11708506
2018-10-23 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,51320,12201914
2018-10-22 00:00:00 +0000 UTC,0.7,0.7,0.7,0.7,50298,12035611
2018-10-21 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,56619,12199416
2018-10-20 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,54139,12692584
2018-10-19 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,52114,13020993
2018-10-18 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,47795,13144471
2018-10-17 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,36713,13266816
2018-10-16 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,46886,13429136
2018-10-15 00:00:00 +0000 UTC,0.7,0.9,0.6,0.8,89391,13918942
2018-10-14 00:00:00 +0000 UTC,0.8,0.8,0.7,0.7,46054,12242583
2018-10-13 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,41837,12241187
2018-10-12 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,44842,12729496
2018-10-11 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,54472,12565027
2018-10-10 00:00:00 +0000 UTC,0.8,0.9,0.8,0.8,53309,13542662
2018-10-09 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,55336,13586770
2018-10-08 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,57165,12858391
2018-10-07 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,39321,12613728
2018-10-06 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,44651,12454755
2018-10-05 00:00:00 +0000 UTC,0.8,0.8,0.7,0.8,92068,12295726
2018-10-04 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,99141,12294322
2018-10-03 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,88709,12608103
2018-10-02 00:00:00 +0000 UTC,0.8,0.8,0.8,0.8,73871,12921848
2018-10-01 00:00:00 +0000 UTC,0.9,0.9,0.8,0.8,70757,13077955
2018-09-30 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,109302,13391578
2018-09-29 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,93991,13705157
2018-09-28 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,141289,13861015
2018-09-27 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,118466,14017103
2018-09-26 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,137414,13858045
2018-09-25 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,108375,13856481
2018-09-24 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,106199,14169806
2018-09-23 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,104873,14797766
2018-09-22 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,125100,14796250
2018-09-21 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,123446,14637340
2018-09-20 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,114895,14163509
2018-09-19 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,105532,14161939
2018-09-18 00:00:00 +0000 UTC,0.9,1.0,0.9,0.9,137477,14632391
2018-09-17 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,107353,13843987
2018-09-16 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,108265,13999779
2018-09-15 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,107433,15885701
2018-09-14 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,171658,14311275
2018-09-13 00:00:00 +0000 UTC,1.0,1.1,1.0,1.0,178058,15095944
2018-09-12 00:00:00 +0000 UTC,0.9,1.0,0.9,1.0,169160,15251490
2018-09-11 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,140177,13677521
2018-09-10 00:00:00 +0000 UTC,0.9,0.9,0.8,0.9,161208,13675958
2018-09-09 00:00:00 +0000 UTC,0.9,0.9,0.9,0.9,131018,13988804
2018-09-08 00:00:00 +0000 UTC,1.0,1.0,0.9,0.9,131530,14301529
2018-09-07 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,138698,15399996
2018-09-06 00:00:00 +0000 UTC,1.0,1.0,1.0,1.0,127462,15398223
2018-09-05 00:00:00 +0000 UTC,1.1,1.2,1.0,1.0,118741,16339028
2018-09-04 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,190069,17279726
2018-09-03 00:00:00 +0000 UTC,1.1,1.1,1.1,1.1,132687,16963581
2018-09-02 00:00:00 +0000 UTC,1.2,1.2,1.1,1.1,145330,17275772
2018-09-01 00:00:00 +0000 UTC,1.2,1.2,1.1,1.2,156733,18216028
2018-08-31 00:00:00 +0000 UTC,1.2,1.2,1.1,1.2,332206,18214006
2018-08-30 00:00:00 +0000 UTC,1.2,1.2,1.1,1.2,314682,18525957
2018-08-29 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,355807,18994853
2018-08-28 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,332860,19306577
2018-08-27 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,284760,18990410
2018-08-26 00:00:00 +0000 UTC,1.2,1.2,1.2,1.2,261967,18674373
2018-08-25 00:00:00 +0000 UTC,1.3,1.3,1.2,1.2,251715,18986145
