Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,1203.9,1213.3,1155.9,1164.3,98,220633
2018-11-04 00:00:00 +0000 UTC,1195.0,1199.6,1186.5,1199.6,0,227320
2018-11-03 00:00:00 +0000 UTC,1195.0,1195.0,1195.0,1195.0,0,226431
2018-11-02 00:00:00 +0000 UTC,1208.5,1208.5,1195.0,1195.0,19,228999
2018-11-01 00:00:00 +0000 UTC,1191.8,1215.2,1181.3,1208.5,0,228999
2018-10-31 00:00:00 +0000 UTC,1190.2,1196.6,1188.5,1191.8,567,225840
2018-10-30 00:00:00 +0000 UTC,1187.2,1200.0,1185.3,1190.5,42,225586
2018-10-29 00:00:00 +0000 UTC,1178.3,1214.5,1173.3,1188.6,245,225228
2018-10-28 00:00:00 +0000 UTC,1219.5,1219.5,1153.4,1178.3,0,223276
2018-10-27 00:00:00 +0000 UTC,1222.3,1230.0,1211.4,1220.3,391,231240
2018-10-26 00:00:00 +0000 UTC,1195.6,1225.9,1149.8,1222.7,70,231682
2018-10-25 00:00:00 +0000 UTC,1238.1,1239.0,1193.0,1194.5,56,226338
2018-10-24 00:00:00 +0000 UTC,1229.9,1247.3,1224.0,1237.0,142,234409
2018-10-23 00:00:00 +0000 UTC,1186.8,1234.0,1181.4,1227.5,147,232608
2018-10-22 00:00:00 +0000 UTC,1254.5,1254.7,1139.2,1188.2,960,225154
2018-10-21 00:00:00 +0000 UTC,1178.7,1271.3,1173.3,1255.1,0,237825
2018-10-20 00:00:00 +0000 UTC,1186.5,1226.0,1164.6,1178.7,99,223344
2018-10-19 00:00:00 +0000 UTC,1178.4,1194.1,1165.5,1186.9,15,224898
2018-10-18 00:00:00 +0000 UTC,1205.1,1209.6,1165.5,1174.7,204,222588
2018-10-17 00:00:00 +0000 UTC,1122.6,1213.1,1102.8,1208.5,0,229004
2018-10-16 00:00:00 +0000 UTC,1200.2,1201.0,1114.8,1123.0,2,212788
2018-10-15 00:00:00 +0000 UTC,1175.4,1285.0,1166.8,1201.0,60,227570
2018-10-14 00:00:00 +0000 UTC,1183.3,1213.1,1169.4,1177.5,636,223128
2018-10-13 00:00:00 +0000 UTC,1184.3,1195.8,1172.7,1177.2,134,223062
2018-10-12 00:00:00 +0000 UTC,1164.2,1192.2,1145.6,1182.4,19,224051
2018-10-11 00:00:00 +0000 UTC,1248.5,1249.8,1138.4,1165.0,1292,220763
2018-10-10 00:00:00 +0000 UTC,1188.9,1253.5,1163.7,1248.5,0,236573
2018-10-09 00:00:00 +0000 UTC,1187.5,1274.0,1180.9,1188.6,500,225226
2018-10-08 00:00:00 +0000 UTC,1211.8,1211.8,1177.7,1187.0,447,224923
2018-10-07 00:00:00 +0000 UTC,1201.8,1215.2,1195.2,1210.7,62,229408
2018-10-06 00:00:00 +0000 UTC,1222.8,1222.8,1191.9,1201.5,34,227678
2018-10-05 00:00:00 +0000 UTC,1182.5,1231.3,1182.5,1225.1,1,232137
2018-10-04 00:00:00 +0000 UTC,1241.6,1275.8,1171.0,1182.2,74,224021
2018-10-03 00:00:00 +0000 UTC,1206.3,1242.3,1185.8,1242.3,0,235413
2018-10-02 00:00:00 +0000 UTC,1206.1,1231.1,1203.6,1220.5,1,231276
2018-10-01 00:00:00 +0000 UTC,1202.6,1250.2,1191.7,1206.0,65,228523
2018-09-30 00:00:00 +0000 UTC,1214.7,1217.3,1189.7,1199.6,5,227308
2018-09-29 00:00:00 +0000 UTC,1189.1,1220.4,1175.5,1213.6,2,229967
2018-09-28 00:00:00 +0000 UTC,1275.1,1385.0,1187.0,1188.6,64,225230
2018-09-27 00:00:00 +0000 UTC,1257.2,1279.7,1200.7,1275.0,8,241590
2018-09-26 00:00:00 +0000 UTC,1228.9,1258.5,1214.4,1243.8,31,235684
2018-09-25 00:00:00 +0000 UTC,1282.2,1282.2,1172.6,1228.9,1581,232860
2018-09-24 00:00:00 +0000 UTC,1563.9,1571.5,1063.1,1280.8,90,242699
2018-09-23 00:00:00 +0000 UTC,1218.2,1585.5,1208.8,1564.3,0,296414
2018-09-22 00:00:00 +0000 UTC,1278.0,1401.3,1212.1,1217.9,1099,230784
2018-09-21 00:00:00 +0000 UTC,1278.0,1280.5,1219.7,1275.1,2626,241615
2018-09-20 00:00:00 +0000 UTC,1191.0,1274.9,1176.1,1274.0,467,241410
2018-09-19 00:00:00 +0000 UTC,1177.2,1194.0,1162.2,1192.2,229,225918
2018-09-18 00:00:00 +0000 UTC,1374.7,1471.8,1374.4,1445.2,0,273860
2018-09-17 00:00:00 +0000 UTC,1213.8,1388.5,1179.5,1377.7,0,261064
2018-09-16 00:00:00 +0000 UTC,1342.3,1348.4,1162.8,1214.3,468,230096
2018-09-15 00:00:00 +0000 UTC,1285.3,1348.5,1221.9,1343.0,0,254487
2018-09-14 00:00:00 +0000 UTC,1224.7,1298.1,1211.7,1284.9,1970,243470
2018-09-13 00:00:00 +0000 UTC,1171.2,1225.4,1170.6,1224.4,1878,232019
2018-09-12 00:00:00 +0000 UTC,1163.1,1194.7,1156.3,1171.2,1797,221936
2018-09-11 00:00:00 +0000 UTC,1187.6,1213.4,1148.4,1163.5,1786,220468
2018-09-10 00:00:00 +0000 UTC,1205.8,1219.0,1179.7,1187.4,1821,225000
2018-09-09 00:00:00 +0000 UTC,1188.7,1219.0,1184.0,1207.5,1852,228807
2018-09-08 00:00:00 +0000 UTC,1231.8,1235.8,1175.2,1188.8,1824,225258
2018-09-07 00:00:00 +0000 UTC,1234.0,1244.5,1220.9,1231.3,1889,233329
2018-09-06 00:00:00 +0000 UTC,1264.6,1264.6,1203.8,1232.9,1891,233617
2018-09-05 00:00:00 +0000 UTC,1379.2,1409.7,1243.1,1263.8,0,239472
2018-09-04 00:00:00 +0000 UTC,1515.3,1559.8,1221.5,1379.1,162,261324
2018-09-03 00:00:00 +0000 UTC,1287.2,1864.4,1267.2,1864.2,2,353243
2018-09-02 00:00:00 +0000 UTC,1258.0,1295.9,1198.4,1288.0,271,244071
2018-09-01 00:00:00 +0000 UTC,1278.2,1290.5,1254.9,1258.5,1419,238475
2018-08-31 00:00:00 +0000 UTC,1316.5,1317.1,1272.0,1279.7,1830,242492
2018-08-30 00:00:00 +0000 UTC,1299.5,1742.6,1285.0,1315.9,30,249352
2018-08-29 00:00:00 +0000 UTC,1352.4,1831.7,1263.8,1298.9,1613,246132
2018-08-28 00:00:00 +0000 UTC,1568.9,1576.8,1317.6,1350.4,167,255889
2018-08-27 00:00:00 +0000 UTC,1485.3,1657.2,1480.2,1567.1,92,296957
2018-08-26 00:00:00 +0000 UTC,1501.8,1501.8,1463.5,1479.3,0,280318
2018-08-25 00:00:00 +0000 UTC,1503.1,1539.9,1486.9,1525.6,0,289092
2018-08-24 00:00:00 +0000 UTC,1470.8,1507.0,1458.2,1496.2,0,283505
2018-08-23 00:00:00 +0000 UTC,1331.2,1476.4,1331.2,1466.5,0,277891
2018-08-22 00:00:00 +0000 UTC,1364.9,1613.9,1307.8,1329.7,375,251955
2018-08-21 00:00:00 +0000 UTC,1572.9,1633.9,1340.6,1365.8,125,258796
2018-08-20 00:00:00 +0000 UTC,1724.7,1742.9,1580.1,1593.0,1,301861
2018-08-19 00:00:00 +0000 UTC,1342.8,1750.6,1318.1,1721.7,0,326249
2018-08-18 00:00:00 +0000 UTC,1118.1,1739.1,1026.1,1343.5,68,254576
2018-08-17 00:00:00 +0000 UTC,1578.3,1578.3,1059.3,1108.6,166,210076
2018-08-16 00:00:00 +0000 UTC,1689.5,1689.5,1559.6,1576.4,1,298718
2018-08-15 00:00:00 +0000 UTC,1254.5,1734.1,1254.5,1692.9,1,320791
