Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65,276726
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,223,276603
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,276478
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,313,276250
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138,276235
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105,276112
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127,275988
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,489,275863
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,92,275741
2018-10-27 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,122,275621
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,251,275497
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1126,275374
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,207,275252
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,419,275129
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,237,275009
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1747,274885
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,157,274761
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,274640
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,205889
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89,205798
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59,274273
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170,205614
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,205521
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,124,205433
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103,205341
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,441,205249
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,205159
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,492,205066
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,110,204976
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,194,204886
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,151,204792
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,98,272935
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,75,272812
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,152,204520
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,146,272573
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,272454
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212,272337
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109,272221
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,253,340127
2018-09-27 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,95,339975
2018-09-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,171,339822
2018-09-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,231,339670
2018-09-24 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,81,339521
2018-09-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,165,407245
2018-09-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,1135,407064
2018-09-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,144,406878
2018-09-20 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,519,406699
2018-09-19 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,116,338767
2018-09-18 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,202,338619
2018-09-17 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,74,338466
2018-09-16 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,439,405977
2018-09-15 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,50,338164
2018-09-14 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,168,338012
2018-09-13 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,91,337857
2018-09-12 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,128,337702
2018-09-11 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,93,337552
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,84,337402
2018-09-09 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,122,337250
2018-09-08 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,89,337103
2018-09-07 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,35,336952
2018-09-06 00:00:00 +0000 UTC,0.1,0.1,0.0,0.1,61,336801
