Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2385610,266992000
2018-11-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4165170,266974000
2018-11-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2726840,266956000
2018-11-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3860650,266921000
2018-11-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2678860,266920000
2018-10-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3481270,266902000
2018-10-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2598120,266884000
2018-10-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4422080,266865000
2018-10-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3897390,266847000
2018-10-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2710450,266827000
2018-10-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2546610,266808000
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3778190,266786000
2018-10-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3581270,266763000
2018-10-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2970030,266740000
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3162300,266712000
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4673850,266680000
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2936910,266648000
2018-10-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2674770,266616000
2018-10-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3000250,266585000
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2642070,266557000
2018-10-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2694080,266536000
2018-10-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12130600,266514000
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3110110,266492000
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2635240,266470000
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4619780,266449000
2018-10-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9224970,266427000
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4129600,293045500
2018-10-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3041980,293021300
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3273560,292997100
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2710160,292974000
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3766750,292949800
2018-10-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3584170,292925600
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3791380,292901400
2018-10-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4028700,292877200
2018-10-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3591560,292853000
2018-10-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3992560,292828800
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3648500,292804600
2018-09-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6769320,292780400
2018-09-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5181490,292756200
2018-09-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5845670,319344000
2018-09-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5409460,292707800
2018-09-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8350970,292683600
2018-09-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7943720,319264800
2018-09-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7885200,319238400
2018-09-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10992200,319212000
2018-09-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11236700,345784400
2018-09-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5963060,319160400
2018-09-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5234890,319134000
2018-09-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7211650,319107600
2018-09-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6901020,292491100
2018-09-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6552720,319054800
2018-09-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8813720,319028400
2018-09-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12869200,292216100
2018-09-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9805830,265651000
2018-09-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9069600,265651000
2018-09-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7593040,265651000
2018-09-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8111150,265651000
2018-09-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8075720,265651000
2018-09-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8264680,265651000
2018-09-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8918020,265651000
2018-09-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,10403500,265651000
2018-09-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12215900,265636000
2018-09-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5491800,318736800
2018-09-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5303280,318710400
2018-09-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8447490,318684000
2018-09-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8338040,345212400
2018-08-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6049440,318631200
2018-08-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6208880,292053300
2018-08-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,8701020,318577200
2018-08-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9854810,318550800
2018-08-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5016210,291980700
2018-08-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3747060,291956500
2018-08-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4400240,291932300
2018-08-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3826110,291907000
2018-08-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4604280,265348000
2018-08-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7187900,265324000
2018-08-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6833200,291821200
2018-08-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5514040,265260000
2018-08-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,15232100,291750800
2018-08-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,14020100,291715600
2018-08-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12840700,318196800
2018-08-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6876800,265132000
2018-08-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9659970,265100000
2018-08-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,21715400,265068000
2018-08-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7980200,291539600
2018-08-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6333640,318003600
2018-08-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,12298000,317965200
2018-08-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,11739900,317926800
2018-08-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,20807100,344379100
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,32969400,344336200
2018-08-07 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8001620,423747200
2018-08-06 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,5775870,423696000
2018-08-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7040120,423644800
2018-08-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7786680,423595200
2018-08-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,19290200,423374400
2018-08-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6014620,423374400
2018-08-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6516270,423374400
2018-07-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,22898500,423374400
2018-07-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14327500,476269200
2018-07-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,8361050,529126000
2018-07-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,11671900,502610800
2018-07-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,20830300,529004000
2018-07-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,10326500,528950000
2018-07-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,13113500,555332400
2018-07-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,14975200,555342900
2018-07-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,7272240,528838000
2018-07-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4918670,528776000
2018-07-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6251660,528714000
2018-07-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,9915730,528652000
