Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,903,1253616
2018-11-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,213,1253616
2018-11-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,76,1253616
2018-11-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,369,1316297
2018-11-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,655,1316297
2018-10-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,226,1190936
2018-10-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,326,1253616
2018-10-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1530,1190936
2018-10-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1235,1253616
2018-10-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,595,1316297
2018-10-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,888,1441659
2018-10-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,315,1316297
2018-10-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1679,1316297
2018-10-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1327,1378978
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2478,1441659
2018-10-21 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,85197,1504340
2018-10-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,78320,1567021
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3803,1567021
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,580,1253616
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1730,1378978
2018-10-16 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,644,1504340
2018-10-15 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,950,1504340
2018-10-14 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,3079,1441659
2018-10-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1155,1316297
2018-10-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,584,1253616
2018-10-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,3989,1378978
2018-10-10 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,2962,1504340
2018-10-09 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,295,1567021
2018-10-08 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,368,1567021
2018-10-07 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,31,1567021
2018-10-06 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,3251,1567021
2018-10-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,131,1629701
2018-10-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,389,1567021
2018-10-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,605,1629701
2018-10-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1333,1755063
2018-10-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1090,1755063
2018-09-30 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,604,1629701
2018-09-29 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1047,1629701
2018-09-28 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,668,1692382
2018-09-27 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,393,1692382
2018-09-26 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1058,1504340
2018-09-25 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,1210,1567021
2018-09-24 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,191,1755063
2018-09-23 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,277,1755063
2018-09-22 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,450,1692382
2018-09-21 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,606,1817744
2018-09-20 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1033,1692382
2018-09-19 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,423,1629701
2018-09-18 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,481,1692382
2018-09-17 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1529,1692382
2018-09-16 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,1841,1817744
2018-09-15 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,62,1567021
2018-09-14 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,3820,1567021
2018-09-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,583,1504340
2018-09-12 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1913,1316297
2018-09-11 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,4459,1441659
2018-09-10 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,561,1567021
2018-09-09 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,550,1629701
2018-09-08 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1020,1629701
2018-09-07 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,7301,1817744
2018-09-06 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,2998,1567021
2018-09-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1229,1692382
2018-09-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2166,1943106
2018-09-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,6025,2131148
2018-09-02 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,3497,2068467
2018-09-01 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,3494,2131148
2018-08-31 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,6946,2068467
2018-08-30 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,11021,2256510
2018-08-29 00:00:00 +0000 UTC,0.5,0.7,0.4,0.4,78896,2507233
2018-08-28 00:00:00 +0000 UTC,0.3,0.5,0.3,0.5,23937,3322084
2018-08-27 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,578,1817744
2018-08-26 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,313,1817744
2018-08-25 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,485,1880425
2018-08-24 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,7736,1692382
2018-08-23 00:00:00 +0000 UTC,0.2,0.3,0.2,0.3,7891,1692382
2018-08-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,165,1441659
2018-08-21 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,2602,1441659
2018-08-20 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,343,1378978
2018-08-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,314,1504340
2018-08-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,190,1441659
2018-08-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,798,1441659
2018-08-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,46,1441659
2018-08-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,749,1378978
2018-08-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,1354,1441659
2018-08-13 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,3719,1441659
2018-08-12 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,1147,1190936
2018-08-11 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,223,1378978
2018-08-10 00:00:00 +0000 UTC,0.2,0.3,0.2,0.2,521,1316297
2018-08-09 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,709,1378978
2018-08-08 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,333,1441659
2018-08-07 00:00:00 +0000 UTC,0.3,0.3,0.2,0.2,602,1567021
2018-08-06 00:00:00 +0000 UTC,0.3,0.3,0.2,0.3,1333,1629701
2018-08-05 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1860,1755063
2018-08-04 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,432,1817744
2018-08-03 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,675,1880425
2018-08-02 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,521,1880425
2018-08-01 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,3861,1943106
2018-07-31 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,907,2131148
2018-07-30 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,1750,2319191
2018-07-29 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,6170,2193829
2018-07-28 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,397,2193829
2018-07-27 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,1878,2131148
2018-07-26 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,4370,2068467
2018-07-25 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,1176,2319191
2018-07-24 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,3453,2131148
2018-07-23 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,4722,2193829
2018-07-22 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,6054,2193829
2018-07-21 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1557,2569914
2018-07-20 00:00:00 +0000 UTC,0.4,0.5,0.4,0.4,6130,2444552
2018-07-19 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,743,2569914
2018-07-18 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,2391,2444552
2018-07-17 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,14949,2632595
2018-07-16 00:00:00 +0000 UTC,0.3,0.4,0.3,0.4,2189,2256510
2018-07-15 00:00:00 +0000 UTC,0.3,0.4,0.3,0.3,1038,2068467
2018-07-14 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,486,2068467
2018-07-13 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,1219,2068467
2018-07-12 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,2968,2005786
2018-07-11 00:00:00 +0000 UTC,0.3,0.3,0.3,0.3,306,2068467
2018-07-10 00:00:00 +0000 UTC,0.4,0.4,0.3,0.3,672,2131148
2018-07-09 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,580,2256510
2018-07-08 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,616,2381871
2018-07-07 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,743,2444552
2018-07-06 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1113,2319191
2018-07-05 00:00:00 +0000 UTC,0.4,0.4,0.3,0.4,1918,2256510
2018-07-04 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,3095,2381871
2018-07-03 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,6449,2319191
2018-07-02 00:00:00 +0000 UTC,0.4,0.4,0.4,0.4,16048,2444552
