Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,354,757970
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,813,757970
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,516,757970
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2051,757970
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3854,757970
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2869,757970
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4133,757970
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1191,947463
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,686,947463
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1263,947463
2018-10-26 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,596,947463
2018-10-25 00:00:00 +0000 UTC,0.0,0.1,0.0,0.0,3310,947463
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4666,757970
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4731,757970
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.0,0.0,7427,757970
2018-10-21 00:00:00 +0000 UTC,0.0,0.1,0.0,0.1,9897,947463
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,757970
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,378,757970
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1009,757970
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,754,757970
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1051,757970
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,970,757970
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1938,757970
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2771,757970
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3463,757970
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6662,757970
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,539,757970
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1446,757970
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1506,757970
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4090,757970
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4786,757970
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,915,757970
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,377,757970
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,656,757970
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,737,757970
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1761,757970
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,682,757970
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1046,757970
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,748,757970
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,672,757970
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2919,757970
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1338,757970
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,586,757970
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1498,757970
