Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,32371400,190474862
2018-11-04 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,55347100,190474862
2018-11-03 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,43678900,190474862
2018-11-02 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,6358010,190474862
2018-11-01 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,4664820,190474862
2018-10-31 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,20591400,190474862
2018-10-30 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,36301800,190474862
2018-10-29 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,42208900,190474862
2018-10-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,31439300,200499855
2018-10-27 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,23543700,200499855
2018-10-26 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,26845600,200499855
2018-10-25 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,34167700,210524848
2018-10-24 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,20155300,220549841
2018-10-23 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,55196900,220549841
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,74900000,220549841
2018-10-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,67556800,220549841
2018-10-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,59630700,220549841
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,53976900,180449870
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,30616200,180449870
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,15370100,180449870
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,82296900,180449870
2018-10-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,57957900,180449870
