Date,Open,High,Low,Close,Volume,MarketCap
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,117,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30169,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,203,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,630,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,188,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2134,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140,106808
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,141,106711
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,54,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5,106075
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134,105936
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259,105639
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3,105492
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133,105339
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,53,105191
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,310,105029
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,316,104892
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108,104739
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22,104573
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41,104431
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,104263
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44,104123
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,311,103982
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,103838
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,28,103699
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,333,103539
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,107,103382
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45,103249
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,103092
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1617,102937
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,531,102793
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1674,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,362,0
