Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2540,1434679
2018-11-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,946,1434664
2018-11-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,6996,1434650
2018-11-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1166,1673732
2018-11-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1370,1673650
2018-10-31 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1894,1434538
2018-10-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2125,1673611
2018-10-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,817,1673587
2018-10-28 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1496,1673569
2018-10-27 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,915,1673502
2018-10-26 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2376,1673484
2018-10-25 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,9371,1673462
2018-10-24 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,4334,1673445
2018-10-23 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,7103,1673410
2018-10-22 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,198,1673395
2018-10-21 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,621,1673390
2018-10-20 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1180,1673385
2018-10-19 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,608,1673376
2018-10-18 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1188,1673369
2018-10-17 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1445,1912411
2018-10-16 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,950,1912398
2018-10-15 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1979,1912381
2018-10-14 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2296,1912362
2018-10-13 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,2842,1912342
2018-10-12 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,31455,1912328
2018-10-11 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1572,1912313
2018-10-10 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1206,2151327
2018-10-09 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,362,2151318
2018-10-08 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,997,2151304
2018-10-07 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,5062,2151254
2018-10-06 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,605,2151182
2018-10-05 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,606,2390195
2018-10-04 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,218,2151133
2018-10-03 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1351,2151115
2018-10-02 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,3535,2390121
2018-10-01 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1595,2390102
2018-09-30 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1887,2151086
2018-09-29 00:00:00 +0000 UTC,0.1,0.1,0.1,0.1,1648,2151079
