Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,219164,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,235837,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252728,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,450560,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,405323,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,330712,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,199507,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,172980,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,182793,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,273866,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158756,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236364,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218941,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,252405,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,272809,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,451786,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,675849,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198511,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195618,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,306625,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,229689,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,321531,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,249482,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,193722,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,193511,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187632,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,243129,9380005
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211887,9380005
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161015,9080005
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159194,9080005
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,208193,9080005
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,350756,9080005
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,290916,9080005
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,173343,9080005
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212001,9080005
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,195523,9056005
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,234491,9056005
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,344211,9056005
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,224140,9056005
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,176322,9056005
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,191171,9056005
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,246199,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187141,9056005
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225363,9056005
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259243,9056005
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,321929,9056005
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,287329,9056005
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239196,9056005
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,700898,9056005
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,642502,9056005
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,406790,9056005
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,300018,9056005
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,315653,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,303224,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,392881,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,241055,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,183186,9056005
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,140055,9056005
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,173029,9056005
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,254737,9056005
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,148642,9054105
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,289110,9054105
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,458404,9054105
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,236888,9054105
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,218527,9054105
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126164,9054105
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,285979,9054105
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,198508,9054105
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,159200,9054105
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,344194,9054105
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,390464,9054105
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,239426,9054105
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,364001,9054105
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,293257,9054105
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,340142,9054105
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,186865,9054105
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,309700,9054105
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,287358,9054105
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,306854,9054105
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,259310,9054105
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,180734,9054105
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,94921,9054105
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116525,9054105
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,264770,9054105
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,408755,9054105
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,698490,9054105
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,824332,9054105
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,668095,9053730
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,548425,9053730
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,902711,9053730
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,503743,9053730
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,636101,9053730
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,257386,9053730
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118583,9053730
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,348705,9053730
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,225895,9053730
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,306427,9053730
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,197905,9053730
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,138072,18107461
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,161570,18107161
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,281990,18107161
