Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,116028,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23380,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18660,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49424,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,91028,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60061,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65489,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,127068,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95621,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44041,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187706,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114966,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,32496,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26213,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35068,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,44037,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,22929,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,143221,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,30646,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,327019,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,436139,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29056,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16071,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25910,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18479,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,61625,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,93165,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,59466,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,118021,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,114531,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,144348,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,255796,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,262190,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73087,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,88990,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24184,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48264,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81558,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108086,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,134610,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,99817,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,89502,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68008,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52774,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101362,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95128,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125826,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86177,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,126510,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,113856,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26515,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,37937,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,101708,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,171038,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,219644,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31766,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34626,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33663,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,81598,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,31529,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100065,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,65639,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40044,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,73396,0
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35442,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69150,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,121188,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142201,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85417,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,170122,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82586,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,233154,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,472804,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,274330,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,86970,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,64076,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40992,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,129885,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,76094,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,103563,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,133657,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,187347,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,109976,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,302132,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,211146,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,112310,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,108615,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,142950,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,95816,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,48384,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,71041,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,67821,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,105491,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,158573,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24600,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52386,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,46299,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,21427,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35430,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33634,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27105,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80231,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56787,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49868,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,82205,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,130607,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,23702,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,16912,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39513,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,40353,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,125493,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,69510,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,55945,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41986,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20521,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26972,0
2018-07-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,49460,0
2018-07-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35681,0
2018-07-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34407,0
2018-07-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,41589,0
2018-07-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,45408,0
2018-07-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,25537,0
2018-07-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33185,0
2018-07-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56964,0
2018-07-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,43868,0
2018-07-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,56356,0
2018-07-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50591,0
2018-07-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,34995,0
2018-06-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42898,0
2018-06-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,60496,0
2018-06-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,100340,0
2018-06-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,47860,0
2018-06-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,36643,0
2018-06-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,68326,0
2018-06-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,104134,0
2018-06-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,26395,0
2018-06-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,80038,0
