Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1113,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1390,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1417,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,456,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,212,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14538,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1154,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,523,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,820,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1819,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13782,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4679,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2780,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7293,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9123,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3927,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3213,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5051,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2537,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8259,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5424,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4934,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2743,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3625,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4374,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2791,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2796,0
2018-10-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7069,0
2018-10-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2878,0
2018-10-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1198,0
2018-10-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1692,0
2018-10-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3723,0
2018-10-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2661,0
2018-10-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2612,0
2018-10-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9063,0
2018-10-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1037,0
2018-09-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4547,0
2018-09-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2192,0
2018-09-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7770,0
2018-09-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6897,0
2018-09-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6310,0
2018-09-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,11804,0
2018-09-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4561,0
2018-09-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2940,0
2018-09-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3099,0
2018-09-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13571,0
2018-09-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3896,0
2018-09-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3999,0
2018-09-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2734,0
2018-09-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3189,0
2018-09-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1667,0
2018-09-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2648,0
2018-09-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6438,0
2018-09-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6108,0
2018-09-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9116,0
2018-09-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7210,0
2018-09-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5429,0
2018-09-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3160,0
2018-09-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7100,0
2018-09-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6590,0
2018-09-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12253,0
2018-09-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7850,0
2018-09-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14169,0
2018-09-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5032,0
2018-09-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6796,0
2018-09-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,15382,0
2018-08-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9529,0
2018-08-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8977,0
2018-08-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9126,0
2018-08-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9097,0
2018-08-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2751,0
2018-08-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3509,0
2018-08-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2565,0
2018-08-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4833,0
2018-08-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2439,0
2018-08-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2104,0
2018-08-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,39649,0
2018-08-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3538,0
2018-08-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3140,0
2018-08-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,1665,0
2018-08-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5704,0
2018-08-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7117,0
2018-08-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7315,0
2018-08-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10261,0
2018-08-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4506,0
2018-08-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2079,0
2018-08-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2635,0
2018-08-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3163,0
2018-08-09 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5300,0
2018-08-08 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3996,0
2018-08-07 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,14958,0
2018-08-06 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,10305,0
2018-08-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4225,0
2018-08-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4969,0
2018-08-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6228,0
2018-08-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,29407,0
2018-08-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3817,0
2018-07-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3469,0
2018-07-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3690,0
2018-07-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5268,0
2018-07-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4955,0
2018-07-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,2645,0
2018-07-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4989,0
2018-07-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8277,0
2018-07-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13134,0
2018-07-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4446,0
2018-07-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,5106,0
2018-07-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4338,0
2018-07-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9216,0
2018-07-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7213,0
2018-07-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,33793,0
2018-07-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7948,0
2018-07-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6949,0
2018-07-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,3975,0
2018-07-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4848,0
2018-07-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,7384,0
