Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,144615,13694617
2018-11-04 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,119838,14672804
2018-11-03 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,153535,14672804
2018-11-02 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,239454,14672804
2018-11-01 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,233263,14672804
2018-10-31 00:00:00 +0000 UTC,0.1,0.5,0.1,0.1,149784,13694617
2018-10-30 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,230258,13694617
2018-10-29 00:00:00 +0000 UTC,0.2,0.2,0.1,0.1,242693,14372804
2018-10-28 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,161653,15330991
2018-10-27 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,319040,15330991
2018-10-26 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,227004,14372804
2018-10-25 00:00:00 +0000 UTC,0.1,0.2,0.1,0.2,245209,14372804
2018-10-24 00:00:00 +0000 UTC,0.1,0.2,0.1,0.1,239981,13414617
2018-10-23 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,187888,14372804
2018-10-22 00:00:00 +0000 UTC,0.2,0.2,0.1,0.2,186273,14345942
2018-10-21 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,111128,15302338
2018-10-20 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,81898,15302338
2018-10-19 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,83090,15302338
2018-10-18 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,162185,14345942
2018-10-17 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,117939,15302338
2018-10-16 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,72384,15302338
2018-10-15 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,164005,15302338
2018-10-14 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,122252,15302338
2018-10-13 00:00:00 +0000 UTC,0.2,0.2,0.2,0.2,99094,15302338
