Date,Open,High,Low,Close,Volume,MarketCap
2018-11-05 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,17,0
2018-11-04 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,13,0
2018-11-03 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,391,0
2018-11-02 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-11-01 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,27,0
2018-10-31 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,51,0
2018-10-30 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,24,0
2018-10-29 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,18,0
2018-10-28 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,85,0
2018-10-27 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,0,0
2018-10-26 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,35,0
2018-10-25 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,430,0
2018-10-24 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,421,0
2018-10-23 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,9,0
2018-10-22 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,52,0
2018-10-21 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,4,0
2018-10-20 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,8,0
2018-10-19 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,6,0
2018-10-18 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,42,0
2018-10-17 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,572,0
2018-10-16 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,12,0
2018-10-15 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,20,0
2018-10-14 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,77,0
2018-10-13 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,50,0
2018-10-12 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,242,0
2018-10-11 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,979,0
2018-10-10 00:00:00 +0000 UTC,0.0,0.0,0.0,0.0,111,0
